step,seed1,seed2,seed3,seed4,seed5
1000,0.34,0.37,0.505618,0.34,0.4623656
2000,0.33,0.42,0.43,0.42,0.31
3000,0.26,0.49,0.38,0.29,0.31
4000,0.29,0.39,0.3,0.32,0.37
5000,0.39,0.38,0.46,0.39,0.39
6000,0.42,0.41,0.34,0.33,0.5
7000,0.41,0.32,0.35,0.39,0.38
8000,0.49,0.4,0.4,0.42,0.33
9000,0.47,0.37,0.37,0.4,0.28
10000,0.4,0.33,0.41,0.37,0.39
11000,0.28,0.53,0.38,0.48,0.44
12000,0.42,0.38,0.36,0.46,0.25
13000,0.29,0.37,0.47,0.51,0.43
14000,0.48,0.43,0.35,0.32,0.38
15000,0.39,0.38,0.39,0.27,0.3
16000,0.4,0.38,0.4,0.37,0.35
17000,0.31,0.3,0.27,0.35,0.49
18000,0.43,0.46,0.36,0.41,0.61
19000,0.43,0.45,0.37,0.46,0.32
20000,0.43,0.44,0.26,0.48,0.33
21000,0.36,0.46,0.48,0.38,0.29
22000,0.52,0.45,0.62,0.47,0.44
23000,0.48,0.42,0.51,0.58,0.47
24000,0.37,0.44,0.38,0.5,0.54
25000,0.52,0.57,0.4,0.31,0.42
26000,0.39,0.41,0.4,0.46,0.52
27000,0.44,0.49,0.51,0.44,0.44
28000,0.46,0.44,0.42,0.63,0.34
29000,0.43,0.46,0.46,0.56,0.39
30000,0.49,0.39,0.49,0.39,0.58
31000,0.45,0.59,0.47,0.55,0.53
32000,0.37,0.41,0.5,0.45,0.6
33000,0.45,0.65,0.54,0.56,0.49
34000,0.4,0.44,0.44,0.57,0.5
35000,0.35,0.45,0.49,0.53,0.38
36000,0.46,0.58,0.45,0.53,0.41
37000,0.52,0.53,0.46,0.33,0.38
38000,0.49,0.62,0.47,0.32,0.34
39000,0.51,0.49,0.39,0.46,0.51
40000,0.4,0.48,0.63,0.46,0.51
41000,0.43,0.43,0.47,0.51,0.48
42000,0.36,0.55,0.5,0.49,0.48
43000,0.52,0.4,0.49,0.53,0.32
44000,0.38,0.39,0.64,0.57,0.48
45000,0.44,0.39,0.58,0.49,0.48
46000,0.55,0.46,0.51,0.45,0.48
47000,0.66,0.53,0.38,0.59,0.45
48000,0.56,0.56,0.4,0.49,0.42
49000,0.43,0.63,0.46,0.52,0.44
50000,0.4,0.46,0.54,0.34,0.53
51000,0.54,0.56,0.48,0.48,0.3
52000,0.53,0.56,0.42,0.54,0.49
53000,0.57,0.53,0.64,0.48,0.5
54000,0.38,0.56,0.59,0.51,0.63
55000,0.44,0.57,0.55,0.6,0.63
56000,0.56,0.63,0.46,0.46,0.42
57000,0.33,0.61,0.71,0.44,0.5
58000,0.33,0.54,0.45,0.64,0.39
59000,0.45,0.49,0.49,0.64,0.68
60000,0.46,0.52,0.42,0.55,0.66
61000,0.54,0.61,0.56,0.59,0.48
62000,0.55,0.59,0.65,0.6,0.55
63000,0.57,0.4,0.66,0.38,0.45
64000,0.52,0.5,0.72,0.59,0.46
65000,0.49,0.42,0.66,0.49,0.5
66000,0.55,0.49,0.55,0.55,0.54
67000,0.52,0.58,0.66,0.4,0.58
68000,0.45,0.56,0.5,0.47,0.43
69000,0.51,0.7,0.49,0.51,0.51
