step,seed1,seed2,seed3,seed4,seed5
1000,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0
3000,0.0,2.0,0.0,0.0,0.0
4000,0.0,2.0,0.0,0.0,0.0
5000,0.0,2.0,0.0,0.0,0.0
6000,0.0,2.0,0.0,0.5,0.0
7000,0.0,2.0,0.0,0.5,0.0
8000,0.0,2.0,0.33333334,0.33333334,0.0
9000,0.0,2.0,0.33333334,0.33333334,0.0
10000,0.0,2.0,0.33333334,0.33333334,0.0
11000,0.0,1.5,0.25,0.5,0.25
12000,0.0,1.5,0.25,0.5,0.25
13000,0.0,1.4,0.2,0.4,0.2
14000,0.0,1.4,0.2,0.4,0.2
15000,0.0,1.4,0.2,0.4,0.2
16000,0.0,1.3333334,0.33333334,0.33333334,0.16666667
17000,0.0,1.3333334,0.33333334,0.33333334,0.16666667
18000,0.0,1.2857143,0.2857143,0.2857143,0.2857143
19000,0.0,1.2857143,0.2857143,0.2857143,0.2857143
20000,0.0,1.2857143,0.2857143,0.2857143,0.2857143
21000,0.0,1.25,0.25,0.25,0.375
22000,0.0,1.25,0.25,0.25,0.375
23000,0.11111111,1.1111112,0.22222222,0.22222222,0.33333334
24000,0.11111111,1.1111112,0.22222222,0.22222222,0.33333334
25000,0.11111111,1.1111112,0.22222222,0.22222222,0.33333334
26000,0.1,1.0,0.2,0.2,0.3
27000,0.1,1.0,0.2,0.2,0.3
28000,0.09090909,1.0909091,0.18181819,0.27272728,0.27272728
29000,0.09090909,1.0909091,0.18181819,0.27272728,0.27272728
30000,0.09090909,1.0909091,0.18181819,0.27272728,0.27272728
31000,0.083333336,1.0833334,0.25,0.33333334,0.25
32000,0.083333336,1.0833334,0.25,0.33333334,0.25
33000,0.15384616,1.0,0.30769232,0.3846154,0.30769232
34000,0.15384616,1.0,0.30769232,0.3846154,0.30769232
35000,0.15384616,1.0,0.30769232,0.3846154,0.30769232
36000,0.21428572,0.9285714,0.35714287,0.42857143,0.2857143
37000,0.21428572,0.9285714,0.35714287,0.42857143,0.2857143
38000,0.2,0.8666667,0.33333334,0.53333336,0.26666668
39000,0.2,0.8666667,0.33333334,0.53333336,0.26666668
40000,0.2,0.8666667,0.33333334,0.53333336,0.26666668
41000,0.1875,0.875,0.3125,0.5,0.25
42000,0.1875,0.875,0.3125,0.5,0.25
43000,0.1764706,0.8235294,0.29411766,0.47058824,0.29411766
44000,0.1764706,0.8235294,0.29411766,0.47058824,0.29411766
45000,0.1764706,0.8235294,0.29411766,0.47058824,0.29411766
46000,0.16666667,0.7777778,0.33333334,0.5555556,0.2777778
47000,0.16666667,0.7777778,0.33333334,0.5555556,0.2777778
48000,0.15789473,0.7894737,0.36842105,0.5263158,0.2631579
49000,0.15789473,0.7894737,0.36842105,0.5263158,0.2631579
50000,0.15789473,0.7894737,0.36842105,0.5263158,0.2631579
51000,0.2,0.75,0.45,0.5,0.25
52000,0.2,0.75,0.45,0.5,0.25
53000,0.1904762,0.7619048,0.42857143,0.47619048,0.23809524
54000,0.1904762,0.7619048,0.42857143,0.47619048,0.23809524
55000,0.1904762,0.7619048,0.42857143,0.47619048,0.23809524
56000,0.22727273,0.77272725,0.4090909,0.5,0.22727273
57000,0.22727273,0.77272725,0.4090909,0.5,0.22727273
58000,0.26086956,0.82608694,0.39130434,0.47826087,0.2173913
59000,0.26086956,0.82608694,0.39130434,0.47826087,0.2173913
60000,0.26086956,0.82608694,0.39130434,0.47826087,0.2173913
61000,0.25,0.875,0.375,0.5416667,0.25
62000,0.25,0.875,0.375,0.5416667,0.25
63000,0.24,0.88,0.4,0.56,0.28
64000,0.24,0.88,0.4,0.56,0.28
65000,0.24,0.88,0.4,0.56,0.28
66000,0.23076923,0.88461536,0.46153846,0.61538464,0.30769232
67000,0.23076923,0.88461536,0.46153846,0.61538464,0.30769232
68000,0.25925925,0.8888889,0.5185185,0.6666667,0.2962963
69000,0.25925925,0.8888889,0.5185185,0.6666667,0.2962963
70000,0.25925925,0.8888889,0.5185185,0.6666667,0.2962963
71000,0.25,0.9285714,0.5,0.64285713,0.2857143
72000,0.25,0.9285714,0.5,0.64285713,0.2857143
73000,0.2413793,0.9310345,0.4827586,0.6551724,0.27586207
74000,0.2413793,0.9310345,0.4827586,0.6551724,0.27586207
75000,0.2413793,0.9310345,0.4827586,0.6551724,0.27586207
76000,0.23333333,0.93333334,0.46666667,0.6666667,0.26666668
77000,0.23333333,0.93333334,0.46666667,0.6666667,0.26666668
78000,0.22580644,1.0,0.4516129,0.67741936,0.2580645
79000,0.22580644,1.0,0.4516129,0.67741936,0.2580645
80000,0.22580644,1.0,0.4516129,0.67741936,0.2580645
81000,0.28125,1.0,0.4375,0.65625,0.28125
82000,0.28125,1.0,0.4375,0.65625,0.28125
83000,0.27272728,1.0,0.42424244,0.6969697,0.27272728
84000,0.27272728,1.0,0.42424244,0.6969697,0.27272728
85000,0.27272728,1.0,0.42424244,0.6969697,0.27272728
86000,0.2647059,1.0294118,0.4117647,0.7058824,0.2647059
87000,0.2647059,1.0294118,0.4117647,0.7058824,0.2647059
88000,0.2857143,1.0571429,0.4857143,0.74285716,0.31428573
89000,0.2857143,1.0571429,0.4857143,0.74285716,0.31428573
90000,0.2857143,1.0571429,0.4857143,0.74285716,0.31428573
91000,0.2777778,1.0277778,0.4722222,0.8055556,0.30555555
92000,0.2777778,1.0277778,0.4722222,0.8055556,0.30555555
93000,0.35135135,1.054054,0.4864865,0.8378378,0.2972973
94000,0.35135135,1.054054,0.4864865,0.8378378,0.2972973
95000,0.35135135,1.054054,0.4864865,0.8378378,0.2972973
96000,0.34210527,1.0263158,0.5,0.8684211,0.31578946
97000,0.34210527,1.0263158,0.5,0.8684211,0.31578946
98000,0.35897437,1.0,0.51282054,0.8717949,0.30769232
99000,0.35897437,1.0,0.51282054,0.8717949,0.30769232
100000,0.35897437,1.0,0.51282054,0.8717949,0.30769232
101000,0.35,1.025,0.5,0.9,0.325
102000,0.35,1.025,0.5,0.9,0.325
103000,0.36585367,1.097561,0.4878049,0.9268293,0.34146342
104000,0.36585367,1.097561,0.4878049,0.9268293,0.34146342
105000,0.36585367,1.097561,0.4878049,0.9268293,0.34146342
106000,0.3809524,1.1190476,0.47619048,0.9047619,0.33333334
107000,0.3809524,1.1190476,0.47619048,0.9047619,0.33333334
108000,0.41860464,1.1627907,0.4651163,0.9302326,0.3255814
109000,0.41860464,1.1627907,0.4651163,0.9302326,0.3255814
110000,0.41860464,1.1627907,0.4651163,0.9302326,0.3255814
111000,0.45454547,1.1590909,0.45454547,0.95454544,0.36363637
112000,0.45454547,1.1590909,0.45454547,0.95454544,0.36363637
113000,0.51111114,1.2222222,0.44444445,0.95555556,0.37777779
114000,0.51111114,1.2222222,0.44444445,0.95555556,0.37777779
115000,0.51111114,1.2222222,0.44444445,0.95555556,0.37777779
116000,0.5,1.2173913,0.45652175,0.95652175,0.45652175
117000,0.5,1.2173913,0.45652175,0.95652175,0.45652175
118000,0.5531915,1.2127659,0.5106383,0.9574468,0.44680852
119000,0.5531915,1.2127659,0.5106383,0.9574468,0.44680852
120000,0.5531915,1.2127659,0.5106383,0.9574468,0.44680852
121000,0.5625,1.2291666,0.5,1.0,0.5
122000,0.5625,1.2291666,0.5,1.0,0.5
123000,0.5510204,1.2244898,0.53061223,1.0612245,0.5102041
124000,0.5510204,1.2244898,0.53061223,1.0612245,0.5102041
125000,0.5510204,1.2244898,0.53061223,1.0612245,0.5102041
126000,0.58,1.22,0.52,1.14,0.5
127000,0.58,1.22,0.52,1.14,0.5
128000,0.627451,1.254902,0.5294118,1.1568627,0.50980395
129000,0.627451,1.254902,0.5294118,1.1568627,0.50980395
130000,0.627451,1.254902,0.5294118,1.1568627,0.50980395
131000,0.63461536,1.2884616,0.5769231,1.1346154,0.5
132000,0.63461536,1.2884616,0.5769231,1.1346154,0.5
