step,seed1,seed2,seed3,seed4,seed5
1000,0.05263158,0.0,0.06896552,0.121212125,0.09090909
2000,0.08108108,0.037037037,0.15384616,0.0625,0.067567565
3000,0.09,0.07,0.13157895,0.0927835,0.08
4000,0.12,0.06,0.11,0.06,0.06
5000,0.12,0.06,0.13,0.09,0.1
6000,0.09,0.04,0.1,0.06,0.07
7000,0.07,0.1,0.13,0.08,0.09
8000,0.06,0.1,0.11,0.11,0.1
9000,0.12,0.13,0.04,0.17,0.13
10000,0.14,0.09,0.1,0.16,0.12
11000,0.15,0.06,0.13,0.14,0.13
12000,0.14,0.07,0.21,0.11,0.09
13000,0.15,0.08,0.2,0.11,0.1
14000,0.12,0.12,0.19,0.1,0.12
15000,0.09,0.12,0.1,0.1,0.08
16000,0.1,0.1,0.1,0.1,0.06
17000,0.12,0.14,0.09,0.1,0.07
18000,0.11,0.11,0.06,0.09,0.06
19000,0.1,0.1,0.05,0.1,0.05
20000,0.1,0.06,0.05,0.08,0.09
21000,0.1,0.08,0.06,0.07,0.16
22000,0.13,0.08,0.09,0.06,0.17
23000,0.07,0.09,0.15,0.08,0.13
24000,0.05,0.11,0.13,0.13,0.08
25000,0.06,0.14,0.12,0.16,0.07
26000,0.08,0.17,0.15,0.08,0.07
27000,0.07,0.2,0.08,0.03,0.08
28000,0.07,0.14,0.1,0.05,0.1
29000,0.06,0.11,0.1,0.09,0.14
30000,0.07,0.09,0.14,0.11,0.15
31000,0.05,0.12,0.17,0.09,0.16
32000,0.12,0.11,0.09,0.08,0.12
33000,0.15,0.08,0.08,0.1,0.1
34000,0.18,0.07,0.1,0.14,0.1
35000,0.21,0.1,0.14,0.16,0.11
36000,0.19,0.14,0.11,0.2,0.11
37000,0.2,0.14,0.07,0.2,0.1
38000,0.22,0.13,0.03,0.15,0.11
39000,0.18,0.07,0.07,0.13,0.1
40000,0.2,0.09,0.07,0.13,0.15
41000,0.17,0.13,0.16,0.14,0.2
42000,0.14,0.13,0.14,0.13,0.2
43000,0.19,0.14,0.16,0.1,0.2
44000,0.2,0.07,0.11,0.11,0.22
45000,0.18,0.06,0.11,0.13,0.23
46000,0.22,0.09,0.14,0.14,0.2
47000,0.21,0.11,0.2,0.18,0.19
48000,0.24,0.14,0.21,0.19,0.1
49000,0.27,0.15,0.23,0.18,0.06
50000,0.25,0.19,0.25,0.13,0.08
51000,0.23,0.17,0.13,0.07,0.08
52000,0.17,0.15,0.16,0.05,0.11
53000,0.16,0.16,0.09,0.07,0.12
54000,0.18,0.09,0.13,0.12,0.1
55000,0.11,0.15,0.1,0.11,0.14
56000,0.14,0.13,0.09,0.1,0.12
57000,0.19,0.15,0.08,0.07,0.11
58000,0.17,0.11,0.12,0.07,0.07
59000,0.18,0.18,0.12,0.07,0.07
60000,0.18,0.2,0.17,0.13,0.09
61000,0.12,0.25,0.2,0.17,0.14
62000,0.14,0.27,0.16,0.17,0.18
63000,0.13,0.29,0.19,0.18,0.14
64000,0.15,0.23,0.18,0.17,0.11
65000,0.17,0.19,0.11,0.17,0.09
66000,0.16,0.15,0.16,0.15,0.12
67000,0.17,0.15,0.1,0.14,0.15
68000,0.15,0.1,0.14,0.05,0.14
69000,0.16,0.09,0.16,0.07,0.19
70000,0.14,0.11,0.14,0.1,0.22
71000,0.16,0.14,0.17,0.11,0.22
72000,0.22,0.19,0.12,0.2,0.23
73000,0.23,0.22,0.16,0.26,0.21
74000,0.25,0.19,0.16,0.22,0.21
75000,0.26,0.23,0.14,0.23,0.17
76000,0.25,0.2,0.1,0.17,0.18
77000,0.15,0.23,0.09,0.13,0.19
78000,0.16,0.21,0.05,0.15,0.2
79000,0.14,0.24,0.11,0.12,0.13
80000,0.14,0.3,0.1,0.16,0.14
81000,0.17,0.3,0.12,0.17,0.15
82000,0.13,0.28,0.13,0.14,0.23
83000,0.18,0.29,0.09,0.14,0.25
84000,0.22,0.26,0.11,0.12,0.24
85000,0.2,0.2,0.13,0.09,0.21
86000,0.22,0.22,0.17,0.1,0.16
87000,0.24,0.2,0.19,0.1,0.16
88000,0.24,0.15,0.18,0.1,0.2
89000,0.23,0.14,0.12,0.07,0.22
90000,0.26,0.13,0.12,0.14,0.27
91000,0.24,0.17,0.16,0.15,0.27
92000,0.25,0.21,0.14,0.15,0.24
93000,0.27,0.22,0.12,0.23,0.28
94000,0.26,0.25,0.15,0.17,0.29
95000,0.19,0.22,0.2,0.18,0.37
96000,0.23,0.2,0.24,0.27,0.37
97000,0.21,0.2,0.27,0.24,0.29
98000,0.18,0.16,0.25,0.25,0.29
99000,0.24,0.16,0.25,0.26,0.28
100000,0.26,0.16,0.21,0.25,0.22
101000,0.25,0.11,0.18,0.2,0.21
102000,0.25,0.1,0.18,0.15,0.29
103000,0.24,0.12,0.15,0.19,0.29
104000,0.17,0.14,0.12,0.18,0.26
105000,0.22,0.2,0.11,0.23,0.27
106000,0.21,0.25,0.14,0.26,0.29
107000,0.24,0.29,0.12,0.23,0.29
108000,0.23,0.31,0.15,0.18,0.24
109000,0.16,0.29,0.15,0.11,0.24
110000,0.14,0.3,0.13,0.08,0.21
111000,0.13,0.24,0.13,0.1,0.25
112000,0.19,0.14,0.14,0.1,0.18
113000,0.17,0.16,0.18,0.13,0.18
114000,0.18,0.14,0.24,0.13,0.21
115000,0.21,0.14,0.24,0.13,0.27
116000,0.19,0.18,0.29,0.1,0.24
117000,0.17,0.14,0.26,0.14,0.29
118000,0.18,0.16,0.27,0.16,0.33
119000,0.16,0.15,0.27,0.18,0.36
120000,0.15,0.18,0.25,0.21,0.38
121000,0.15,0.21,0.21,0.23,0.33
122000,0.16,0.21,0.09,0.22,0.32
123000,0.14,0.24,0.11,0.17,0.36
124000,0.19,0.23,0.09,0.23,0.38
125000,0.18,0.18,0.15,0.27,0.36
126000,0.19,0.19,0.16,0.22,0.32
127000,0.22,0.21,0.16,0.22,0.29
128000,0.17,0.21,0.22,0.21,0.24
129000,0.14,0.22,0.18,0.21,0.24
130000,0.17,0.22,0.2,0.23,0.23
131000,0.2,0.21,0.3,0.24,0.3
132000,0.25,0.25,0.29,0.24,0.31
133000,0.28,0.22,0.27,0.18,0.35
134000,0.26,0.26,0.33,0.17,0.35
135000,0.29,0.21,0.31,0.12,0.28
136000,0.33,0.28,0.22,0.14,0.25
137000,0.3,0.25,0.22,0.15,0.25
138000,0.25,0.27,0.23,0.18,0.24
139000,0.28,0.28,0.18,0.21,0.3
140000,0.25,0.27,0.18,0.16,0.35
141000,0.22,0.22,0.25,0.16,0.34
142000,0.18,0.23,0.2,0.17,0.3
143000,0.15,0.24,0.25,0.21,0.35
144000,0.17,0.22,0.24,0.21,0.35
145000,0.19,0.2,0.24,0.2,0.34
146000,0.19,0.2,0.22,0.21,0.33
147000,0.22,0.17,0.21,0.18,0.34
148000,0.2,0.17,0.22,0.22,0.41
149000,0.19,0.14,0.24,0.25,0.45
150000,0.2,0.16,0.25,0.3,0.49
151000,0.21,0.23,0.19,0.35,0.46
152000,0.24,0.25,0.19,0.32,0.43
153000,0.24,0.29,0.18,0.32,0.39
154000,0.28,0.28,0.16,0.3,0.39
155000,0.26,0.27,0.16,0.32,0.36
