step,seed1,seed2,seed3,seed4,seed5
1000,3.631579,3.7058823,5.8,3.047619,3.857143
2000,3.6216216,3.6944444,5.0,3.2894738,4.0
3000,3.4827585,3.4363637,4.9302325,3.5370371,4.340909
4000,3.6438355,3.7571428,5.1296296,3.7246377,4.25
5000,3.5531914,3.9176471,4.75,3.8139534,4.189189
6000,3.47,3.76,4.586207,3.74,4.211111
7000,3.4,3.94,4.7755103,3.86,4.13
8000,3.54,3.91,4.34,3.91,4.03
9000,3.76,4.19,4.17,3.74,3.74
10000,3.76,3.92,3.89,3.82,3.74
11000,3.9,3.81,3.67,3.64,3.65
12000,4.02,3.86,3.45,3.87,3.43
13000,4.18,3.77,3.4,3.78,3.45
14000,4.36,4.08,3.66,4.18,3.44
15000,4.15,4.07,3.68,4.33,3.67
16000,4.26,4.3,3.75,4.52,3.86
17000,4.26,4.39,3.63,4.7,3.72
18000,4.2,4.51,3.67,4.55,3.82
19000,4.22,4.39,3.76,4.58,4.12
20000,4.17,4.24,3.91,4.48,4.15
21000,3.91,3.97,4.11,4.53,4.27
22000,4.01,3.8,4.23,4.3,4.34
23000,3.75,4.02,4.45,4.28,4.54
24000,3.7,4.13,4.38,3.82,4.71
25000,3.62,4.13,4.2,3.84,4.49
26000,3.69,4.1,3.94,3.84,4.39
27000,3.71,4.31,3.87,3.5,4.31
28000,3.78,4.26,3.53,3.69,4.41
29000,3.77,4.18,3.63,3.68,4.25
30000,3.81,4.28,3.85,3.79,4.4
31000,3.9,4.07,4.0,3.73,4.48
32000,3.93,4.19,4.34,3.82,4.6
33000,3.97,4.16,4.33,3.68,4.72
34000,4.0,4.01,4.4,3.81,4.71
35000,4.01,3.82,4.19,4.0,4.4
36000,4.06,3.94,4.35,4.02,4.36
37000,4.24,4.18,4.17,4.42,4.31
38000,4.0,3.81,3.98,4.48,3.98
39000,3.55,4.27,4.4,4.79,4.25
40000,3.83,4.4,4.33,4.87,4.4
41000,3.97,4.27,4.76,4.56,4.51
42000,3.94,4.49,4.58,4.5,4.51
43000,3.93,4.38,4.16,4.33,4.66
44000,4.03,4.44,4.5,3.91,4.81
45000,4.42,4.09,4.26,4.07,4.93
46000,4.14,3.9,4.23,3.92,4.83
47000,4.14,3.67,4.06,4.14,4.75
48000,4.22,3.79,4.32,4.32,4.87
49000,4.32,3.78,4.36,4.78,5.16
50000,4.24,4.02,4.4,4.57,4.94
51000,4.1,4.12,4.5,4.53,4.8
52000,4.04,4.02,4.4,4.64,4.52
53000,3.97,3.95,4.46,4.53,4.8
54000,4.02,3.93,4.49,4.3,4.75
55000,3.98,3.69,4.42,4.2,4.67
56000,3.79,3.87,4.26,4.42,4.82
57000,3.99,3.92,4.02,4.47,5.04
58000,4.22,4.44,3.92,4.16,5.07
59000,4.04,4.56,3.83,4.49,4.93
60000,4.04,4.67,3.7,4.36,4.83
61000,4.22,4.66,3.94,4.51,4.76
62000,4.21,4.72,4.21,4.56,4.46
63000,4.49,4.9,4.55,4.54,4.53
64000,4.25,4.7,4.56,4.63,4.35
