step,seed1,seed2,seed3,seed4,seed5
1000,0.5625,0.41666666,0.78571427,0.5833333,0.23529412
2000,0.4516129,0.56,0.61290324,0.39285713,0.25
3000,0.4347826,0.45,0.5555556,0.5609756,0.27450982
4000,0.48214287,0.48076922,0.5254237,0.6296296,0.4
5000,0.5882353,0.59375,0.6857143,0.6666667,0.39506173
6000,0.5595238,0.5731707,0.6179775,0.60493827,0.36734694
7000,0.5851064,0.6145833,0.58,0.5555556,0.37
8000,0.64,0.57,0.5,0.58,0.37
9000,0.62,0.59,0.53,0.59,0.4
10000,0.63,0.56,0.54,0.55,0.43
11000,0.53,0.54,0.39,0.47,0.44
12000,0.53,0.39,0.39,0.45,0.43
13000,0.48,0.32,0.5,0.48,0.43
14000,0.39,0.36,0.53,0.46,0.44
15000,0.46,0.4,0.55,0.47,0.37
16000,0.48,0.35,0.55,0.53,0.31
17000,0.57,0.3,0.53,0.57,0.29
18000,0.62,0.3,0.57,0.58,0.39
19000,0.63,0.39,0.57,0.59,0.46
20000,0.66,0.44,0.52,0.53,0.47
21000,0.57,0.38,0.57,0.58,0.47
22000,0.61,0.43,0.62,0.5,0.51
23000,0.63,0.43,0.59,0.44,0.54
24000,0.56,0.45,0.59,0.46,0.47
25000,0.51,0.4,0.63,0.41,0.45
26000,0.49,0.35,0.72,0.43,0.45
27000,0.49,0.37,0.75,0.41,0.39
28000,0.49,0.38,0.73,0.4,0.44
29000,0.46,0.44,0.7,0.41,0.41
30000,0.44,0.47,0.64,0.44,0.43
31000,0.42,0.49,0.67,0.47,0.51
32000,0.42,0.49,0.63,0.53,0.47
33000,0.37,0.48,0.57,0.54,0.47
34000,0.36,0.37,0.5,0.56,0.53
35000,0.4,0.38,0.46,0.6,0.46
36000,0.38,0.36,0.44,0.62,0.48
37000,0.38,0.36,0.45,0.51,0.42
38000,0.34,0.38,0.44,0.55,0.41
39000,0.32,0.41,0.45,0.56,0.39
40000,0.32,0.51,0.41,0.53,0.4
41000,0.29,0.54,0.41,0.58,0.38
42000,0.29,0.51,0.4,0.57,0.41
43000,0.3,0.53,0.44,0.58,0.38
44000,0.37,0.52,0.48,0.65,0.32
45000,0.45,0.49,0.37,0.65,0.41
46000,0.49,0.46,0.37,0.6,0.46
47000,0.53,0.46,0.42,0.55,0.43
48000,0.52,0.49,0.48,0.49,0.54
49000,0.55,0.44,0.41,0.45,0.55
50000,0.56,0.4,0.33,0.44,0.63
51000,0.45,0.45,0.39,0.45,0.65
52000,0.54,0.46,0.43,0.45,0.55
53000,0.56,0.47,0.44,0.42,0.6
54000,0.6,0.5,0.44,0.46,0.66
55000,0.59,0.57,0.4,0.41,0.6
56000,0.59,0.63,0.49,0.41,0.61
57000,0.62,0.7,0.56,0.44,0.6
58000,0.56,0.72,0.58,0.38,0.59
59000,0.48,0.7,0.57,0.42,0.6
60000,0.36,0.76,0.5,0.34,0.54
61000,0.34,0.77,0.46,0.44,0.6
62000,0.36,0.65,0.49,0.44,0.54
63000,0.27,0.62,0.4,0.44,0.5
64000,0.31,0.58,0.37,0.4,0.53
65000,0.35,0.53,0.35,0.42,0.51
66000,0.36,0.53,0.37,0.49,0.47
67000,0.39,0.52,0.43,0.47,0.4
68000,0.39,0.58,0.41,0.48,0.42
69000,0.38,0.55,0.46,0.49,0.44
70000,0.36,0.51,0.46,0.54,0.42
71000,0.32,0.62,0.46,0.55,0.45
72000,0.32,0.58,0.51,0.53,0.48
73000,0.37,0.59,0.59,0.54,0.51
74000,0.44,0.55,0.52,0.52,0.57
75000,0.44,0.48,0.57,0.48,0.68
76000,0.48,0.61,0.55,0.45,0.66
77000,0.56,0.59,0.56,0.5,0.6
78000,0.56,0.57,0.5,0.49,0.68
79000,0.47,0.58,0.58,0.52,0.67
80000,0.51,0.61,0.52,0.54,0.69
81000,0.45,0.62,0.5,0.62,0.62
82000,0.46,0.7,0.44,0.66,0.53
83000,0.45,0.53,0.5,0.64,0.54
84000,0.33,0.5,0.5,0.59,0.58
85000,0.34,0.47,0.52,0.56,0.58
86000,0.39,0.52,0.47,0.53,0.5
87000,0.38,0.5,0.5,0.54,0.48
88000,0.37,0.48,0.48,0.51,0.46
89000,0.4,0.48,0.55,0.46,0.47
90000,0.38,0.49,0.51,0.5,0.47
91000,0.43,0.54,0.53,0.46,0.42
92000,0.43,0.68,0.55,0.46,0.44
93000,0.44,0.64,0.54,0.47,0.49
94000,0.44,0.66,0.56,0.43,0.53
95000,0.47,0.64,0.59,0.39,0.52
96000,0.46,0.66,0.61,0.4,0.5
97000,0.56,0.61,0.61,0.48,0.54
98000,0.58,0.63,0.59,0.44,0.57
99000,0.63,0.48,0.55,0.42,0.54
100000,0.65,0.51,0.54,0.42,0.46
101000,0.6,0.45,0.52,0.42,0.51
102000,0.57,0.43,0.47,0.34,0.52
103000,0.63,0.52,0.47,0.31,0.59
104000,0.61,0.51,0.45,0.36,0.5
105000,0.6,0.5,0.43,0.37,0.49
106000,0.56,0.54,0.49,0.46,0.5
107000,0.57,0.54,0.51,0.46,0.47
108000,0.58,0.54,0.52,0.45,0.43
109000,0.55,0.58,0.51,0.47,0.48
110000,0.52,0.52,0.44,0.42,0.48
111000,0.48,0.56,0.44,0.35,0.51
112000,0.48,0.51,0.36,0.29,0.49
113000,0.52,0.49,0.3,0.28,0.46
114000,0.56,0.51,0.28,0.29,0.51
115000,0.55,0.42,0.29,0.32,0.51
116000,0.6,0.44,0.3,0.35,0.51
117000,0.59,0.43,0.33,0.43,0.5
118000,0.55,0.47,0.38,0.42,0.51
119000,0.59,0.53,0.47,0.41,0.49
120000,0.57,0.53,0.48,0.46,0.45
121000,0.57,0.5,0.54,0.41,0.43
122000,0.64,0.52,0.52,0.45,0.43
123000,0.65,0.51,0.53,0.52,0.38
124000,0.64,0.51,0.58,0.52,0.38
125000,0.7,0.49,0.53,0.54,0.4
126000,0.72,0.49,0.46,0.55,0.41
127000,0.7,0.49,0.56,0.55,0.44
128000,0.71,0.48,0.54,0.57,0.4
129000,0.69,0.51,0.5,0.54,0.36
130000,0.63,0.54,0.52,0.45,0.37
131000,0.64,0.57,0.51,0.49,0.4
132000,0.58,0.54,0.47,0.51,0.44
133000,0.57,0.52,0.45,0.51,0.45
134000,0.53,0.56,0.36,0.44,0.51
135000,0.47,0.53,0.43,0.47,0.58
