step,seed1,seed2,seed3,seed4,seed5
1000,0.46153846,0.40206185,0.36,0.31,0.27
2000,0.5,0.36,0.36,0.29,0.38
3000,0.49,0.4,0.37,0.43,0.45
4000,0.26,0.44,0.42,0.29,0.53
5000,0.44,0.31,0.42,0.32,0.43
6000,0.46,0.45,0.33,0.38,0.47
7000,0.34,0.34,0.41,0.42,0.29
8000,0.39,0.28,0.46,0.3,0.29
9000,0.4,0.38,0.41,0.45,0.34
10000,0.39,0.43,0.29,0.46,0.45
11000,0.3,0.34,0.37,0.48,0.5
12000,0.43,0.34,0.23,0.44,0.46
13000,0.45,0.31,0.44,0.33,0.28
14000,0.42,0.29,0.4,0.35,0.35
15000,0.41,0.33,0.45,0.4,0.34
16000,0.41,0.34,0.33,0.44,0.3
17000,0.45,0.43,0.34,0.36,0.38
18000,0.3,0.33,0.27,0.41,0.33
19000,0.42,0.33,0.45,0.44,0.34
20000,0.36,0.31,0.49,0.32,0.48
21000,0.35,0.41,0.39,0.35,0.51
22000,0.35,0.26,0.36,0.35,0.33
23000,0.36,0.4,0.39,0.43,0.29
24000,0.39,0.41,0.43,0.31,0.39
25000,0.43,0.36,0.37,0.42,0.49
26000,0.4,0.39,0.37,0.35,0.35
27000,0.51,0.41,0.41,0.41,0.34
28000,0.45,0.52,0.34,0.42,0.51
29000,0.38,0.33,0.35,0.48,0.34
30000,0.37,0.32,0.43,0.31,0.48
31000,0.41,0.33,0.3,0.33,0.29
32000,0.32,0.26,0.27,0.43,0.32
33000,0.48,0.26,0.42,0.42,0.46
34000,0.48,0.37,0.56,0.35,0.47
35000,0.39,0.42,0.36,0.41,0.46
36000,0.42,0.43,0.34,0.37,0.36
37000,0.5,0.45,0.42,0.47,0.53
38000,0.52,0.31,0.38,0.38,0.46
39000,0.43,0.45,0.3,0.39,0.49
40000,0.36,0.34,0.35,0.37,0.37
41000,0.4,0.41,0.38,0.45,0.41
42000,0.43,0.48,0.36,0.49,0.4
43000,0.36,0.5,0.32,0.44,0.44
44000,0.43,0.34,0.44,0.42,0.48
45000,0.5,0.47,0.38,0.45,0.4
46000,0.57,0.45,0.39,0.4,0.32
47000,0.44,0.37,0.38,0.34,0.4
48000,0.38,0.52,0.44,0.3,0.45
49000,0.43,0.54,0.41,0.41,0.46
50000,0.49,0.44,0.59,0.39,0.55
51000,0.45,0.46,0.33,0.39,0.58
52000,0.35,0.49,0.48,0.55,0.43
53000,0.52,0.46,0.37,0.37,0.51
54000,0.4,0.54,0.54,0.28,0.52
55000,0.44,0.48,0.55,0.4,0.53
56000,0.41,0.4,0.41,0.42,0.48
57000,0.4,0.47,0.56,0.4,0.43
58000,0.42,0.58,0.47,0.47,0.56
59000,0.56,0.57,0.57,0.49,0.39
60000,0.49,0.47,0.51,0.55,0.42
61000,0.49,0.54,0.5,0.41,0.48
62000,0.55,0.47,0.5,0.27,0.59
63000,0.44,0.56,0.43,0.4,0.58
64000,0.57,0.54,0.42,0.42,0.38
65000,0.49,0.52,0.48,0.49,0.51
66000,0.51,0.44,0.4,0.48,0.61
67000,0.51,0.51,0.61,0.5,0.44
68000,0.59,0.63,0.44,0.48,0.56
69000,0.59,0.46,0.4,0.55,0.67
70000,0.68,0.65,0.53,0.56,0.59
71000,0.7,0.6,0.48,0.63,0.52
72000,0.46,0.51,0.61,0.54,0.5
73000,0.58,0.56,0.72,0.61,0.61
74000,0.55,0.66,0.48,0.49,0.5
75000,0.66,0.56,0.67,0.58,0.6
76000,0.6,0.51,0.63,0.61,0.54
77000,0.71,0.48,0.62,0.55,0.62
78000,0.64,0.54,0.51,0.53,0.56
79000,0.68,0.51,0.51,0.54,0.68
80000,0.77,0.55,0.67,0.61,0.46
81000,0.62,0.52,0.64,0.68,0.62
