step,seed1,seed2,seed3,seed4,seed5
1000,,,,,
2000,,,,,
3000,0.0,2.0,0.0,1.0,0.0
4000,0.0,2.0,0.0,1.0,0.0
5000,0.0,2.0,0.0,1.0,0.0
6000,0.0,1.0,0.0,0.5,1.0
7000,0.0,1.0,0.0,0.5,1.0
8000,0.0,1.0,0.33333334,0.33333334,0.6666667
9000,0.0,1.0,0.33333334,0.33333334,0.6666667
10000,0.0,1.0,0.33333334,0.33333334,0.6666667
11000,0.0,1.0,0.5,0.25,0.75
12000,0.0,1.0,0.5,0.25,0.75
13000,0.0,0.8,0.6,0.2,0.6
14000,0.0,0.8,0.6,0.2,0.6
15000,0.0,0.8,0.6,0.2,0.6
16000,0.0,0.8333333,0.5,0.16666667,0.5
17000,0.0,0.8333333,0.5,0.16666667,0.5
18000,0.2857143,0.71428573,0.71428573,0.14285715,0.5714286
19000,0.2857143,0.71428573,0.71428573,0.14285715,0.5714286
20000,0.2857143,0.71428573,0.71428573,0.14285715,0.5714286
21000,0.25,0.75,0.625,0.125,0.5
22000,0.25,0.75,0.625,0.125,0.5
23000,0.22222222,0.6666667,0.5555556,0.11111111,0.44444445
24000,0.22222222,0.6666667,0.5555556,0.11111111,0.44444445
25000,0.22222222,0.6666667,0.5555556,0.11111111,0.44444445
26000,0.2,0.6,0.5,0.1,0.4
27000,0.2,0.6,0.5,0.1,0.4
28000,0.18181819,0.54545456,0.45454547,0.09090909,0.36363637
29000,0.18181819,0.54545456,0.45454547,0.09090909,0.36363637
30000,0.18181819,0.54545456,0.45454547,0.09090909,0.36363637
31000,0.16666667,0.5,0.41666666,0.083333336,0.33333334
32000,0.16666667,0.5,0.41666666,0.083333336,0.33333334
33000,0.15384616,0.46153846,0.3846154,0.07692308,0.30769232
34000,0.15384616,0.46153846,0.3846154,0.07692308,0.30769232
35000,0.15384616,0.46153846,0.3846154,0.07692308,0.30769232
36000,0.14285715,0.42857143,0.35714287,0.071428575,0.2857143
37000,0.14285715,0.42857143,0.35714287,0.071428575,0.2857143
38000,0.13333334,0.4,0.4,0.2,0.26666668
