step,seed1,seed2,seed3,seed4,seed5
1000,0.14285715,0.075,0.06896552,0.05882353,0.10526316
2000,0.15625,0.077922076,0.057971016,0.04225352,0.08450704
3000,0.20930232,0.07,0.08163265,0.05,0.11
4000,0.17,0.06,0.08,0.06,0.11
5000,0.13,0.05,0.07,0.1,0.15
6000,0.07,0.04,0.08,0.13,0.16
7000,0.08,0.06,0.05,0.14,0.14
8000,0.06,0.11,0.05,0.15,0.15
9000,0.01,0.11,0.04,0.12,0.1
10000,0.04,0.14,0.03,0.19,0.05
11000,0.06,0.1,0.06,0.15,0.05
12000,0.09,0.1,0.06,0.13,0.09
13000,0.11,0.08,0.09,0.07,0.1
14000,0.12,0.1,0.09,0.08,0.06
15000,0.09,0.13,0.09,0.09,0.09
16000,0.08,0.16,0.07,0.16,0.1
17000,0.09,0.18,0.08,0.24,0.07
18000,0.11,0.15,0.1,0.28,0.07
19000,0.15,0.13,0.1,0.25,0.06
20000,0.1,0.09,0.12,0.21,0.1
21000,0.09,0.08,0.07,0.1,0.09
22000,0.07,0.07,0.07,0.05,0.1
23000,0.14,0.07,0.09,0.03,0.12
24000,0.16,0.07,0.08,0.07,0.13
25000,0.18,0.03,0.07,0.09,0.12
26000,0.12,0.06,0.06,0.12,0.18
27000,0.14,0.08,0.08,0.16,0.14
28000,0.13,0.13,0.05,0.22,0.16
29000,0.14,0.11,0.05,0.2,0.08
30000,0.12,0.11,0.05,0.16,0.06
31000,0.11,0.06,0.06,0.19,0.08
32000,0.09,0.08,0.14,0.18,0.1
33000,0.08,0.1,0.14,0.17,0.12
34000,0.08,0.16,0.13,0.19,0.14
35000,0.08,0.15,0.08,0.24,0.16
36000,0.11,0.1,0.13,0.19,0.14
37000,0.1,0.03,0.16,0.21,0.15
38000,0.13,0.06,0.07,0.22,0.15
39000,0.12,0.06,0.05,0.12,0.11
40000,0.19,0.11,0.09,0.09,0.08
41000,0.19,0.15,0.09,0.09,0.06
42000,0.18,0.14,0.09,0.1,0.06
43000,0.13,0.06,0.06,0.13,0.09
44000,0.12,0.11,0.13,0.15,0.07
45000,0.11,0.14,0.11,0.12,0.1
46000,0.13,0.18,0.12,0.14,0.08
47000,0.09,0.21,0.08,0.11,0.11
48000,0.1,0.2,0.11,0.09,0.12
49000,0.06,0.13,0.08,0.12,0.11
50000,0.09,0.09,0.07,0.14,0.07
51000,0.09,0.05,0.05,0.17,0.08
52000,0.08,0.03,0.08,0.21,0.1
53000,0.11,0.07,0.09,0.24,0.14
54000,0.1,0.1,0.1,0.26,0.14
55000,0.11,0.11,0.04,0.26,0.11
56000,0.12,0.17,0.04,0.28,0.07
57000,0.11,0.2,0.07,0.27,0.08
58000,0.12,0.17,0.1,0.29,0.05
59000,0.08,0.15,0.12,0.26,0.09
60000,0.12,0.13,0.15,0.27,0.12
61000,0.2,0.13,0.14,0.28,0.17
62000,0.19,0.15,0.17,0.25,0.24
63000,0.22,0.16,0.14,0.22,0.29
64000,0.2,0.14,0.14,0.24,0.31
65000,0.18,0.16,0.11,0.19,0.29
