step,seed1,seed2,seed3,seed4,seed5
1000,3.642857,4.611111,3.5,2.8947368,3.4444444
2000,4.826087,4.5555553,3.4473684,3.4054055,3.3589745
3000,4.825,4.4423075,3.4464285,3.6666667,3.508772
4000,4.4333334,4.2394366,3.5479453,3.68,3.5844157
5000,4.246753,4.27907,3.5591397,3.9574468,3.9230769
6000,4.3913045,4.28,3.5,4.03,4.31
7000,4.58,3.99,3.5,4.31,4.14
8000,4.36,4.05,3.4,4.43,4.2
9000,4.29,3.92,3.28,4.52,4.1
10000,4.35,4.05,3.2,4.97,3.93
11000,4.3,4.07,3.3,4.85,3.5
12000,3.87,3.98,3.6,4.73,3.63
13000,3.62,3.82,3.93,4.72,3.56
14000,3.83,3.94,3.98,4.0,3.82
15000,3.87,4.19,4.28,3.99,3.84
16000,4.16,4.11,4.49,3.6,4.19
17000,4.3,4.11,4.62,3.94,4.12
18000,4.43,4.21,3.97,4.08,4.18
19000,4.54,4.32,3.89,4.16,4.26
20000,4.64,4.01,3.99,4.33,4.16
21000,4.52,3.57,3.86,4.72,4.23
22000,4.14,3.67,3.79,4.52,4.37
23000,4.28,3.87,3.83,4.51,4.25
24000,4.18,4.02,4.28,4.25,4.23
25000,4.12,4.07,4.28,4.22,4.18
26000,4.21,4.41,4.22,4.1,4.41
27000,4.13,4.54,4.17,3.98,4.33
28000,4.27,4.49,4.27,4.25,4.14
29000,3.72,4.71,4.34,4.56,4.34
30000,3.72,4.32,4.19,4.37,4.54
31000,3.42,4.55,4.19,4.53,4.3
32000,3.21,4.24,4.07,4.41,4.23
33000,3.4,4.21,4.26,4.51,4.43
34000,3.63,4.18,4.3,4.37,4.28
35000,3.57,3.96,4.14,4.24,4.18
36000,3.84,4.27,4.02,4.09,4.14
37000,3.97,4.0,4.16,3.9,4.44
38000,4.07,4.22,4.01,3.69,4.41
39000,3.99,4.35,3.89,3.81,4.24
40000,4.03,4.34,3.97,3.79,4.36
41000,4.1,4.5,3.88,3.58,4.35
42000,3.93,4.46,3.86,3.77,4.53
43000,3.99,4.16,3.84,3.95,4.51
44000,3.65,4.1,3.85,4.12,4.6
45000,3.62,4.0,3.67,3.72,4.2
46000,3.62,3.6,3.56,3.83,4.06
47000,3.7,3.52,3.66,3.96,4.3
48000,3.69,3.48,3.67,3.61,3.92
49000,4.01,3.74,3.63,3.47,3.42
50000,4.32,3.57,3.51,3.5,3.34
51000,4.73,3.87,3.68,3.79,3.62
52000,4.44,4.03,3.66,4.06,3.64
53000,4.51,4.04,3.66,4.09,3.78
54000,4.52,4.11,3.75,4.02,3.68
55000,4.67,3.83,3.97,4.2,3.89
56000,4.82,4.11,3.99,4.12,4.13
57000,4.46,4.41,3.98,4.15,4.06
58000,4.71,4.11,3.98,3.95,4.27
59000,4.75,4.27,4.33,3.91,4.42
60000,5.0,4.37,4.49,3.72,4.78
61000,5.11,4.44,4.45,3.92,4.87
62000,4.87,4.01,4.58,3.69,4.78
63000,4.91,4.14,4.63,3.6,4.77
64000,4.88,4.3,4.45,4.04,4.49
65000,5.01,4.19,4.42,4.03,4.15
66000,4.74,4.01,4.3,4.09,4.03
67000,4.16,4.4,4.31,4.2,4.16
68000,4.35,4.84,4.43,4.44,4.18
69000,4.7,4.94,4.52,4.4,3.98
70000,4.7,4.62,4.82,4.23,4.12
71000,4.45,4.7,4.85,4.45,4.26
72000,4.45,4.86,4.94,4.3,3.84
73000,4.44,4.09,4.9,4.41,3.93
74000,4.46,4.03,4.93,4.55,4.03
75000,3.89,4.41,4.84,4.75,4.11
76000,3.97,4.63,5.14,4.89,3.96
77000,4.31,4.7,4.78,4.6,4.03
78000,4.58,4.77,4.87,4.77,4.38
79000,4.62,4.85,5.05,4.99,4.71
80000,4.67,5.0,4.92,4.93,4.81
