step,seed1,seed2,seed3,seed4,seed5
1000,0.42857143,0.47058824,0.5625,0.3125,0.5625
2000,0.53571427,0.4375,0.62068963,0.4642857,0.5862069
3000,0.4347826,0.4117647,0.575,0.5952381,0.52380955
4000,0.48333332,0.41791046,0.61538464,0.45454547,0.55172414
5000,0.525641,0.4,0.63076925,0.4390244,0.5694444
6000,0.47368422,0.4387755,0.5802469,0.45918366,0.5168539
7000,0.42,0.38,0.53125,0.46,0.47
8000,0.38,0.46,0.5,0.41,0.47
9000,0.44,0.46,0.53,0.44,0.48
10000,0.42,0.45,0.55,0.52,0.5
11000,0.43,0.46,0.54,0.57,0.47
12000,0.42,0.49,0.52,0.55,0.5
13000,0.42,0.47,0.53,0.52,0.56
14000,0.44,0.55,0.54,0.49,0.6
15000,0.47,0.47,0.53,0.45,0.57
16000,0.54,0.48,0.52,0.43,0.56
17000,0.63,0.58,0.47,0.41,0.52
18000,0.66,0.58,0.45,0.39,0.55
19000,0.59,0.51,0.44,0.51,0.46
20000,0.62,0.49,0.45,0.53,0.49
21000,0.65,0.48,0.52,0.53,0.41
22000,0.6,0.48,0.56,0.49,0.45
23000,0.53,0.56,0.53,0.48,0.42
24000,0.51,0.46,0.54,0.53,0.38
25000,0.56,0.52,0.52,0.5,0.34
26000,0.61,0.6,0.54,0.46,0.34
27000,0.58,0.6,0.49,0.5,0.42
28000,0.62,0.65,0.55,0.58,0.48
29000,0.67,0.64,0.51,0.6,0.48
30000,0.68,0.64,0.53,0.59,0.5
31000,0.55,0.67,0.51,0.55,0.58
32000,0.51,0.57,0.56,0.57,0.62
33000,0.56,0.62,0.54,0.62,0.64
34000,0.54,0.63,0.48,0.69,0.6
35000,0.59,0.68,0.55,0.64,0.51
36000,0.56,0.67,0.57,0.57,0.51
37000,0.55,0.59,0.57,0.62,0.48
38000,0.61,0.64,0.6,0.67,0.42
39000,0.64,0.59,0.57,0.55,0.37
40000,0.62,0.53,0.63,0.52,0.42
41000,0.69,0.52,0.62,0.55,0.44
42000,0.63,0.44,0.56,0.5,0.43
43000,0.56,0.47,0.51,0.5,0.43
44000,0.47,0.47,0.52,0.42,0.41
45000,0.5,0.46,0.46,0.45,0.43
46000,0.5,0.53,0.47,0.5,0.38
47000,0.48,0.52,0.42,0.44,0.39
48000,0.51,0.5,0.41,0.4,0.4
49000,0.57,0.56,0.38,0.38,0.35
50000,0.56,0.52,0.45,0.39,0.42
51000,0.59,0.46,0.54,0.39,0.46
52000,0.6,0.39,0.6,0.34,0.45
53000,0.58,0.48,0.6,0.33,0.49
54000,0.51,0.52,0.55,0.35,0.51
55000,0.5,0.51,0.52,0.34,0.54
56000,0.51,0.54,0.51,0.36,0.58
57000,0.55,0.54,0.39,0.4,0.56
58000,0.59,0.57,0.38,0.4,0.48
59000,0.56,0.57,0.31,0.42,0.49
60000,0.57,0.54,0.34,0.5,0.46
61000,0.55,0.5,0.38,0.49,0.38
62000,0.53,0.49,0.43,0.52,0.4
63000,0.45,0.55,0.49,0.55,0.41
64000,0.49,0.57,0.49,0.49,0.46
65000,0.43,0.58,0.57,0.5,0.55
66000,0.45,0.54,0.62,0.54,0.5
67000,0.5,0.54,0.66,0.62,0.52
68000,0.48,0.61,0.58,0.6,0.51
69000,0.55,0.58,0.58,0.61,0.5
70000,0.61,0.5,0.57,0.55,0.5
71000,0.65,0.51,0.57,0.56,0.46
72000,0.68,0.49,0.5,0.54,0.38
73000,0.64,0.52,0.46,0.51,0.49
74000,0.54,0.57,0.47,0.44,0.55
75000,0.58,0.5,0.48,0.45,0.54
76000,0.52,0.49,0.46,0.5,0.5
77000,0.5,0.47,0.44,0.56,0.56
78000,0.48,0.56,0.45,0.59,0.58
79000,0.47,0.61,0.49,0.61,0.51
80000,0.47,0.53,0.5,0.65,0.53
81000,0.48,0.55,0.47,0.61,0.48
82000,0.49,0.58,0.51,0.63,0.47
83000,0.48,0.63,0.53,0.62,0.43
84000,0.56,0.67,0.47,0.56,0.45
85000,0.6,0.66,0.45,0.63,0.42
86000,0.65,0.7,0.5,0.52,0.5
87000,0.65,0.7,0.49,0.61,0.4
88000,0.63,0.65,0.52,0.56,0.4
89000,0.61,0.61,0.51,0.5,0.48
90000,0.6,0.59,0.52,0.49,0.51
91000,0.56,0.5,0.57,0.48,0.48
92000,0.52,0.47,0.5,0.47,0.5
93000,0.53,0.5,0.48,0.43,0.46
94000,0.57,0.51,0.43,0.49,0.51
95000,0.66,0.58,0.44,0.52,0.53
96000,0.64,0.58,0.42,0.54,0.46
97000,0.63,0.59,0.43,0.64,0.49
98000,0.53,0.62,0.47,0.66,0.48
99000,0.46,0.7,0.46,0.65,0.6
100000,0.48,0.71,0.49,0.63,0.61
101000,0.49,0.64,0.48,0.64,0.63
102000,0.34,0.62,0.47,0.68,0.65
103000,0.38,0.6,0.52,0.65,0.66
104000,0.43,0.62,0.56,0.57,0.61
105000,0.44,0.68,0.48,0.65,0.59
106000,0.46,0.58,0.47,0.64,0.46
107000,0.42,0.59,0.5,0.53,0.41
108000,0.4,0.58,0.51,0.49,0.36
109000,0.45,0.59,0.46,0.53,0.39
110000,0.38,0.59,0.44,0.56,0.38
111000,0.43,0.62,0.48,0.45,0.36
112000,0.5,0.6,0.46,0.46,0.42
113000,0.49,0.61,0.51,0.51,0.42
114000,0.48,0.65,0.48,0.51,0.48
115000,0.44,0.58,0.47,0.56,0.49
116000,0.44,0.58,0.49,0.45,0.51
117000,0.44,0.54,0.47,0.45,0.5
118000,0.32,0.48,0.49,0.48,0.58
119000,0.35,0.49,0.51,0.52,0.54
120000,0.38,0.42,0.44,0.52,0.56
121000,0.39,0.39,0.45,0.54,0.56
122000,0.39,0.39,0.49,0.5,0.55
123000,0.43,0.41,0.5,0.53,0.52
124000,0.45,0.4,0.54,0.54,0.5
125000,0.46,0.48,0.56,0.52,0.47
126000,0.44,0.45,0.6,0.46,0.47
127000,0.48,0.5,0.66,0.51,0.49
128000,0.42,0.55,0.72,0.45,0.42
129000,0.48,0.58,0.74,0.49,0.43
130000,0.45,0.62,0.73,0.53,0.42
131000,0.44,0.58,0.66,0.47,0.38
132000,0.42,0.54,0.64,0.52,0.38
133000,0.36,0.57,0.38,0.5,0.35
134000,0.41,0.49,0.4,0.46,0.34
135000,0.4,0.53,0.35,0.48,0.43
136000,0.36,0.55,0.4,0.42,0.44
137000,0.35,0.52,0.34,0.35,0.46
138000,0.37,0.53,0.36,0.36,0.51
139000,0.44,0.54,0.34,0.42,0.47
140000,0.49,0.53,0.42,0.38,0.42
141000,0.51,0.53,0.47,0.39,0.41
142000,0.56,0.64,0.51,0.43,0.41
143000,0.61,0.6,0.58,0.44,0.43
144000,0.62,0.51,0.58,0.48,0.41
145000,0.64,0.46,0.71,0.52,0.46
146000,0.54,0.49,0.74,0.51,0.53
147000,0.54,0.43,0.73,0.57,0.51
148000,0.55,0.4,0.74,0.58,0.55
149000,0.56,0.36,0.68,0.57,0.48
150000,0.56,0.36,0.6,0.55,0.52
151000,0.52,0.4,0.6,0.54,0.51
152000,0.56,0.41,0.59,0.54,0.51
153000,0.61,0.47,0.55,0.52,0.48
154000,0.67,0.53,0.51,0.55,0.57
155000,0.65,0.56,0.52,0.57,0.52
156000,0.62,0.55,0.58,0.58,0.5
157000,0.68,0.54,0.62,0.61,0.48
158000,0.62,0.56,0.62,0.64,0.53
159000,0.63,0.51,0.64,0.73,0.5
160000,0.57,0.58,0.64,0.75,0.49
161000,0.54,0.6,0.69,0.66,0.53
162000,0.54,0.55,0.67,0.64,0.49
163000,0.44,0.55,0.63,0.57,0.53
164000,0.52,0.49,0.56,0.52,0.56
165000,0.46,0.55,0.53,0.49,0.59
166000,0.48,0.57,0.48,0.42,0.55
167000,0.5,0.59,0.43,0.46,0.52
168000,0.51,0.52,0.38,0.49,0.54
169000,0.52,0.49,0.4,0.43,0.54
170000,0.55,0.46,0.43,0.42,0.55
171000,0.55,0.47,0.46,0.44,0.5
172000,0.61,0.46,0.4,0.47,0.43
173000,0.59,0.43,0.46,0.47,0.4
174000,0.59,0.38,0.52,0.46,0.43
175000,0.67,0.4,0.55,0.43,0.46
176000,0.66,0.43,0.52,0.47,0.42
177000,0.58,0.44,0.51,0.52,0.45
178000,0.53,0.41,0.58,0.55,0.47
179000,0.51,0.42,0.6,0.57,0.52
180000,0.43,0.41,0.61,0.56,0.56
181000,0.41,0.44,0.54,0.55,0.68
182000,0.39,0.45,0.44,0.58,0.72
183000,0.48,0.47,0.47,0.58,0.69
184000,0.5,0.47,0.5,0.57,0.72
185000,0.49,0.48,0.55,0.58,0.72
186000,0.49,0.54,0.52,0.57,0.66
187000,0.6,0.63,0.51,0.55,0.61
188000,0.59,0.62,0.58,0.52,0.49
189000,0.57,0.65,0.58,0.46,0.44
190000,0.56,0.59,0.62,0.51,0.38
191000,0.54,0.58,0.58,0.57,0.36
192000,0.58,0.63,0.72,0.52,0.39
193000,0.59,0.63,0.65,0.53,0.41
194000,0.6,0.64,0.62,0.58,0.42
195000,0.52,0.59,0.62,0.54,0.45
196000,0.53,0.55,0.63,0.55,0.5
197000,0.48,0.57,0.66,0.52,0.52
198000,0.51,0.57,0.71,0.49,0.53
199000,0.51,0.46,0.67,0.45,0.55
200000,0.39,0.5,0.59,0.4,0.47
201000,0.43,0.45,0.59,0.34,0.54
202000,0.41,0.47,0.6,0.44,0.64
203000,0.41,0.52,0.55,0.46,0.53
204000,0.42,0.51,0.53,0.46,0.54
205000,0.46,0.51,0.48,0.49,0.54
206000,0.39,0.54,0.53,0.52,0.51
207000,0.46,0.57,0.56,0.54,0.54
208000,0.53,0.55,0.51,0.54,0.52
209000,0.53,0.53,0.47,0.51,0.45
210000,0.59,0.52,0.53,0.54,0.43
211000,0.6,0.61,0.5,0.51,0.41
212000,0.62,0.65,0.51,0.54,0.37
213000,0.66,0.68,0.44,0.61,0.4
214000,0.68,0.72,0.47,0.61,0.38
215000,0.68,0.73,0.47,0.61,0.32
216000,0.59,0.75,0.52,0.64,0.35
217000,0.64,0.66,0.51,0.7,0.39
218000,0.6,0.6,0.51,0.7,0.37
219000,0.56,0.48,0.52,0.71,0.39
220000,0.53,0.45,0.54,0.61,0.41
