step,seed1,seed2,seed3,seed4,seed5
1000,0.36,0.34,0.24,0.4623656,0.44210526
2000,0.28,0.36,0.46,0.34,0.39
3000,0.35,0.36,0.36,0.43,0.36
4000,0.38,0.34,0.44,0.46,0.32
5000,0.34,0.34,0.39,0.46,0.43
6000,0.53,0.45,0.41,0.36,0.37
7000,0.35,0.41,0.32,0.32,0.42
8000,0.38,0.49,0.45,0.36,0.51
9000,0.33,0.29,0.34,0.43,0.29
10000,0.47,0.42,0.48,0.38,0.41
11000,0.38,0.43,0.44,0.51,0.37
12000,0.48,0.34,0.23,0.41,0.28
13000,0.39,0.31,0.44,0.42,0.38
14000,0.38,0.4,0.36,0.35,0.51
15000,0.44,0.41,0.49,0.33,0.41
16000,0.24,0.51,0.29,0.34,0.39
17000,0.47,0.22,0.4,0.51,0.43
18000,0.33,0.36,0.51,0.47,0.42
19000,0.48,0.32,0.34,0.3,0.34
20000,0.32,0.28,0.4,0.26,0.44
21000,0.36,0.41,0.48,0.39,0.56
22000,0.25,0.28,0.34,0.32,0.3
23000,0.27,0.31,0.34,0.41,0.37
24000,0.32,0.52,0.4,0.43,0.41
25000,0.43,0.36,0.28,0.52,0.42
26000,0.36,0.31,0.39,0.39,0.38
27000,0.4,0.37,0.36,0.35,0.39
28000,0.42,0.46,0.34,0.39,0.35
29000,0.42,0.37,0.36,0.41,0.5
30000,0.3,0.38,0.46,0.27,0.45
31000,0.32,0.44,0.32,0.36,0.51
32000,0.44,0.48,0.44,0.43,0.36
33000,0.39,0.4,0.3,0.46,0.38
34000,0.51,0.49,0.49,0.34,0.41
35000,0.39,0.42,0.38,0.28,0.48
36000,0.45,0.29,0.36,0.32,0.45
37000,0.38,0.54,0.39,0.42,0.4
38000,0.43,0.44,0.42,0.34,0.38
39000,0.46,0.43,0.36,0.37,0.51
40000,0.48,0.39,0.32,0.39,0.34
41000,0.56,0.48,0.37,0.48,0.37
42000,0.49,0.37,0.48,0.51,0.46
43000,0.31,0.52,0.42,0.38,0.42
44000,0.53,0.55,0.41,0.2,0.4
45000,0.48,0.53,0.45,0.48,0.39
46000,0.44,0.38,0.42,0.62,0.32
47000,0.39,0.37,0.45,0.54,0.49
48000,0.29,0.54,0.51,0.38,0.3
49000,0.5,0.4,0.53,0.39,0.4
50000,0.62,0.5,0.48,0.37,0.53
51000,0.47,0.45,0.52,0.42,0.53
52000,0.44,0.49,0.47,0.29,0.45
53000,0.37,0.53,0.35,0.42,0.51
54000,0.42,0.45,0.35,0.42,0.51
55000,0.45,0.5,0.35,0.45,0.46
56000,0.47,0.55,0.46,0.33,0.51
57000,0.5,0.58,0.47,0.39,0.36
58000,0.53,0.53,0.56,0.53,0.56
59000,0.63,0.55,0.61,0.38,0.46
60000,0.44,0.57,0.5,0.57,0.45
61000,0.52,0.53,0.58,0.44,0.44
62000,0.51,0.34,0.35,0.33,0.62
63000,0.55,0.4,0.51,0.52,0.42
64000,0.6,0.55,0.56,0.47,0.36
65000,0.57,0.64,0.61,0.53,0.48
66000,0.71,0.49,0.4,0.41,0.54
67000,0.54,0.64,0.55,0.5,0.71
68000,0.69,0.58,0.47,0.53,0.55
69000,0.64,0.69,0.55,0.55,0.58
70000,0.69,0.45,0.63,0.63,0.62
71000,0.6,0.52,0.71,0.49,0.62
72000,0.73,0.64,0.61,0.45,0.6
73000,0.63,0.65,0.51,0.49,0.6
74000,0.63,0.59,0.5,0.46,0.45
75000,0.58,0.53,0.64,0.51,0.54
76000,0.71,0.54,0.47,0.48,0.58
77000,0.81,0.44,0.62,0.58,0.78
78000,0.62,0.75,0.55,0.58,0.56
79000,0.54,0.43,0.6,0.51,0.73
80000,0.6,0.55,0.65,0.57,0.69
81000,0.66,0.56,0.64,0.54,0.68
82000,0.6,0.56,0.64,0.45,0.76
83000,0.73,0.5,0.69,0.45,0.68
84000,0.62,0.63,0.54,0.77,0.57
85000,0.55,0.59,0.55,0.62,0.74
86000,0.62,0.66,0.46,0.45,0.76
87000,0.61,0.56,0.48,0.69,0.63
88000,0.56,0.59,0.69,0.76,0.58
89000,0.61,0.61,0.7,0.62,0.64
90000,0.62,0.68,0.56,0.53,0.69
91000,0.61,0.58,0.53,0.63,0.72
92000,0.64,0.56,0.44,0.56,0.85
93000,0.65,0.68,0.47,0.48,0.6
94000,0.65,0.56,0.63,0.59,0.73
95000,0.54,0.7,0.73,0.66,0.63
96000,0.57,0.66,0.58,0.63,0.77
97000,0.7,0.52,0.69,0.64,0.87
