step,seed1,seed2,seed3,seed4,seed5
1000,,,,,
2000,,,,,
3000,0.0,0.0,0.0,1.0,0.0
4000,0.0,0.0,0.0,1.0,0.0
5000,0.0,0.0,0.0,1.0,0.0
6000,0.0,0.0,0.5,0.5,1.0
7000,0.0,0.0,0.5,0.5,1.0
8000,0.0,0.0,0.33333334,0.33333334,0.6666667
9000,0.0,0.0,0.33333334,0.33333334,0.6666667
10000,0.0,0.0,0.33333334,0.33333334,0.6666667
11000,0.0,0.0,0.25,0.25,0.75
12000,0.0,0.0,0.25,0.25,0.75
13000,0.0,0.0,0.2,0.2,0.6
14000,0.0,0.0,0.2,0.2,0.6
15000,0.0,0.0,0.2,0.2,0.6
16000,0.0,0.0,0.16666667,0.16666667,0.5
17000,0.0,0.0,0.16666667,0.16666667,0.5
18000,0.2857143,0.14285715,0.14285715,0.14285715,0.5714286
19000,0.2857143,0.14285715,0.14285715,0.14285715,0.5714286
20000,0.2857143,0.14285715,0.14285715,0.14285715,0.5714286
21000,0.25,0.25,0.125,0.125,0.5
22000,0.25,0.25,0.125,0.125,0.5
23000,0.22222222,0.22222222,0.11111111,0.11111111,0.44444445
24000,0.22222222,0.22222222,0.11111111,0.11111111,0.44444445
25000,0.22222222,0.22222222,0.11111111,0.11111111,0.44444445
26000,0.3,0.2,0.1,0.1,0.4
27000,0.3,0.2,0.1,0.1,0.4
28000,0.27272728,0.27272728,0.09090909,0.09090909,0.36363637
29000,0.27272728,0.27272728,0.09090909,0.09090909,0.36363637
30000,0.27272728,0.27272728,0.09090909,0.09090909,0.36363637
31000,0.25,0.25,0.083333336,0.083333336,0.33333334
32000,0.25,0.25,0.083333336,0.083333336,0.33333334
33000,0.23076923,0.23076923,0.15384616,0.07692308,0.30769232
34000,0.23076923,0.23076923,0.15384616,0.07692308,0.30769232
35000,0.23076923,0.23076923,0.15384616,0.07692308,0.30769232
36000,0.21428572,0.21428572,0.14285715,0.071428575,0.2857143
37000,0.21428572,0.21428572,0.14285715,0.071428575,0.2857143
38000,0.2,0.26666668,0.13333334,0.06666667,0.26666668
