step,seed1,seed2,seed3,seed4,seed5
1000,0.0,0.09375,0.0,0.03125,0.0882353
2000,0.024390243,0.10526316,0.04347826,0.028571429,0.118644066
3000,0.05,0.10227273,0.04,0.04,0.1
4000,0.09,0.09,0.04,0.05,0.09
5000,0.12,0.08,0.03,0.08,0.09
6000,0.09,0.04,0.06,0.08,0.11
7000,0.12,0.04,0.09,0.07,0.11
8000,0.1,0.08,0.08,0.09,0.12
9000,0.08,0.08,0.04,0.1,0.1
10000,0.08,0.12,0.04,0.13,0.05
11000,0.09,0.13,0.08,0.14,0.05
12000,0.08,0.18,0.1,0.11,0.09
13000,0.08,0.18,0.15,0.09,0.1
14000,0.07,0.15,0.15,0.12,0.06
15000,0.09,0.1,0.12,0.16,0.09
16000,0.07,0.06,0.12,0.18,0.1
17000,0.09,0.1,0.11,0.2,0.07
18000,0.1,0.13,0.08,0.25,0.07
19000,0.06,0.12,0.07,0.19,0.06
20000,0.08,0.13,0.11,0.2,0.1
21000,0.06,0.08,0.11,0.19,0.09
22000,0.12,0.1,0.09,0.11,0.1
23000,0.12,0.07,0.1,0.1,0.12
24000,0.13,0.05,0.1,0.08,0.13
25000,0.11,0.05,0.1,0.08,0.12
26000,0.12,0.04,0.06,0.08,0.18
27000,0.17,0.05,0.1,0.07,0.13
28000,0.11,0.13,0.1,0.09,0.13
29000,0.09,0.17,0.13,0.07,0.14
30000,0.06,0.15,0.1,0.12,0.14
31000,0.09,0.06,0.11,0.19,0.17
32000,0.09,0.05,0.08,0.29,0.17
33000,0.05,0.09,0.11,0.27,0.16
34000,0.11,0.09,0.06,0.2,0.16
35000,0.16,0.09,0.08,0.21,0.14
36000,0.17,0.11,0.08,0.18,0.12
37000,0.13,0.11,0.12,0.21,0.1
38000,0.09,0.1,0.09,0.15,0.11
39000,0.07,0.09,0.09,0.14,0.14
40000,0.08,0.08,0.04,0.11,0.18
41000,0.11,0.11,0.07,0.13,0.21
42000,0.11,0.12,0.07,0.13,0.21
43000,0.15,0.16,0.13,0.15,0.2
44000,0.12,0.17,0.1,0.14,0.13
45000,0.11,0.21,0.09,0.13,0.12
46000,0.12,0.21,0.04,0.11,0.13
47000,0.11,0.21,0.05,0.14,0.12
48000,0.08,0.11,0.08,0.17,0.13
49000,0.1,0.11,0.08,0.14,0.14
50000,0.15,0.1,0.05,0.17,0.15
51000,0.13,0.1,0.07,0.15,0.19
52000,0.14,0.1,0.08,0.16,0.2
53000,0.18,0.13,0.14,0.16,0.16
54000,0.14,0.14,0.12,0.19,0.12
55000,0.24,0.14,0.07,0.2,0.13
56000,0.2,0.15,0.03,0.21,0.13
57000,0.25,0.21,0.06,0.17,0.13
58000,0.18,0.22,0.09,0.14,0.1
59000,0.2,0.19,0.14,0.13,0.13
60000,0.14,0.16,0.17,0.13,0.14
61000,0.11,0.15,0.15,0.16,0.16
62000,0.12,0.11,0.13,0.11,0.17
63000,0.11,0.1,0.12,0.08,0.19
64000,0.13,0.11,0.1,0.13,0.25
65000,0.14,0.12,0.14,0.12,0.24
66000,0.14,0.12,0.11,0.13,0.31
67000,0.17,0.14,0.17,0.13,0.27
68000,0.15,0.17,0.2,0.12,0.27
69000,0.12,0.23,0.16,0.15,0.25
70000,0.1,0.23,0.15,0.22,0.23
71000,0.12,0.18,0.12,0.17,0.22
72000,0.15,0.16,0.1,0.19,0.23
73000,0.21,0.15,0.11,0.18,0.23
74000,0.19,0.17,0.08,0.13,0.23
75000,0.22,0.2,0.11,0.18,0.21
76000,0.17,0.22,0.11,0.16,0.2
77000,0.22,0.17,0.1,0.11,0.16
78000,0.24,0.11,0.12,0.14,0.17
79000,0.29,0.09,0.15,0.1,0.17
80000,0.35,0.09,0.2,0.14,0.19
81000,0.32,0.08,0.23,0.15,0.17
82000,0.31,0.07,0.18,0.16,0.19
83000,0.27,0.11,0.17,0.17,0.19
84000,0.26,0.17,0.12,0.18,0.16
85000,0.14,0.18,0.2,0.2,0.17
86000,0.17,0.21,0.21,0.26,0.19
87000,0.17,0.14,0.27,0.27,0.19
88000,0.17,0.11,0.3,0.28,0.25
89000,0.18,0.14,0.27,0.25,0.28
90000,0.22,0.16,0.22,0.27,0.19
91000,0.18,0.24,0.21,0.18,0.21
92000,0.21,0.27,0.19,0.15,0.18
93000,0.24,0.23,0.17,0.05,0.15
94000,0.2,0.21,0.19,0.04,0.15
95000,0.27,0.19,0.21,0.07,0.09
96000,0.26,0.13,0.28,0.09,0.12
97000,0.29,0.16,0.31,0.09,0.1
98000,0.24,0.27,0.39,0.07,0.12
99000,0.22,0.26,0.38,0.07,0.19
100000,0.2,0.29,0.38,0.09,0.2
101000,0.26,0.28,0.34,0.1,0.21
102000,0.29,0.3,0.39,0.14,0.08
103000,0.35,0.31,0.34,0.23,0.07
104000,0.33,0.29,0.35,0.26,0.07
105000,0.28,0.24,0.38,0.25,0.07
106000,0.33,0.26,0.45,0.11,0.07
107000,0.38,0.32,0.4,0.1,0.11
108000,0.32,0.33,0.39,0.12,0.18
109000,0.42,0.34,0.39,0.08,0.21
110000,0.43,0.3,0.32,0.18,0.22
111000,0.43,0.3,0.31,0.23,0.2
112000,0.42,0.33,0.28,0.23,0.24
113000,0.37,0.29,0.28,0.25,0.15
114000,0.4,0.21,0.22,0.24,0.14
115000,0.35,0.26,0.24,0.27,0.16
116000,0.39,0.28,0.28,0.25,0.13
117000,0.44,0.28,0.25,0.27,0.15
118000,0.41,0.26,0.24,0.26,0.2
119000,0.48,0.24,0.31,0.3,0.2
120000,0.35,0.25,0.32,0.3,0.2
121000,0.37,0.26,0.34,0.31,0.21
122000,0.39,0.28,0.35,0.33,0.24
123000,0.34,0.29,0.37,0.33,0.31
124000,0.36,0.29,0.35,0.39,0.32
125000,0.28,0.29,0.29,0.33,0.32
126000,0.32,0.29,0.32,0.23,0.33
127000,0.27,0.31,0.26,0.16,0.29
128000,0.28,0.34,0.28,0.08,0.29
129000,0.26,0.33,0.35,0.11,0.29
130000,0.26,0.34,0.35,0.12,0.29
131000,0.25,0.27,0.39,0.13,0.27
132000,0.25,0.23,0.44,0.19,0.28
133000,0.2,0.28,0.42,0.26,0.25
134000,0.22,0.24,0.4,0.23,0.22
135000,0.2,0.24,0.35,0.22,0.23
136000,0.31,0.29,0.37,0.23,0.28
137000,0.31,0.32,0.36,0.28,0.32
138000,0.33,0.37,0.38,0.26,0.32
139000,0.25,0.38,0.37,0.29,0.37
140000,0.27,0.35,0.43,0.27,0.37
141000,0.19,0.37,0.48,0.39,0.4
142000,0.2,0.44,0.5,0.44,0.46
143000,0.21,0.48,0.53,0.39,0.42
144000,0.24,0.47,0.47,0.36,0.4
145000,0.23,0.45,0.38,0.36,0.37
146000,0.22,0.45,0.38,0.39,0.24
147000,0.21,0.49,0.35,0.25,0.23
148000,0.21,0.5,0.37,0.27,0.21
149000,0.23,0.5,0.36,0.28,0.26
150000,0.3,0.42,0.42,0.26,0.26
151000,0.32,0.4,0.46,0.3,0.27
152000,0.4,0.35,0.44,0.29,0.34
153000,0.38,0.31,0.49,0.33,0.35
154000,0.36,0.29,0.49,0.38,0.22
155000,0.33,0.29,0.47,0.34,0.29
156000,0.33,0.28,0.46,0.34,0.28
157000,0.3,0.27,0.47,0.33,0.25
158000,0.27,0.31,0.46,0.31,0.26
159000,0.23,0.35,0.48,0.31,0.33
160000,0.29,0.32,0.4,0.29,0.3
161000,0.21,0.39,0.41,0.27,0.28
162000,0.19,0.35,0.42,0.32,0.29
163000,0.18,0.29,0.41,0.28,0.32
164000,0.13,0.26,0.34,0.29,0.28
165000,0.17,0.28,0.37,0.33,0.25
166000,0.25,0.25,0.37,0.33,0.27
167000,0.28,0.26,0.45,0.27,0.29
168000,0.29,0.29,0.44,0.26,0.31
169000,0.28,0.33,0.42,0.27,0.35
170000,0.3,0.34,0.38,0.23,0.32
171000,0.33,0.31,0.41,0.21,0.36
172000,0.32,0.3,0.42,0.26,0.33
173000,0.33,0.29,0.31,0.28,0.33
174000,0.36,0.29,0.24,0.32,0.26
175000,0.45,0.28,0.28,0.35,0.27
176000,0.51,0.24,0.27,0.32,0.27
177000,0.51,0.3,0.32,0.37,0.31
