step,seed1,seed2,seed3,seed4,seed5
1000,4.125,3.8947368,3.7777777,3.8823528,8.857142
2000,4.0,3.8947368,3.5142858,3.8387096,6.0
3000,3.8076923,4.0384617,3.75,4.3555555,5.631579
4000,4.0151515,3.7260275,3.5945945,4.151515,5.3773584
5000,3.9277108,3.8333333,3.788889,4.352941,5.4626865
6000,4.112245,3.96,3.81,4.17,5.4117646
7000,4.31,4.25,3.76,4.52,4.64
8000,4.28,4.09,3.66,4.58,4.6
9000,4.31,4.02,4.05,4.62,4.11
10000,4.35,4.29,4.18,4.97,3.93
11000,4.31,4.22,4.45,4.85,3.5
12000,3.72,3.79,4.23,4.86,3.69
13000,3.88,3.54,4.49,4.91,3.76
14000,4.21,3.58,4.38,4.32,3.92
15000,4.23,3.37,3.9,4.17,3.96
16000,4.29,3.64,3.7,3.49,4.13
17000,4.29,3.61,3.5,3.9,4.17
18000,4.47,3.92,3.34,3.93,4.15
19000,4.07,4.01,3.57,3.91,4.07
20000,4.31,3.79,3.64,3.99,4.08
21000,4.17,3.48,3.54,4.24,4.26
22000,4.25,3.51,3.73,4.4,4.14
23000,4.17,3.41,3.41,4.16,4.24
24000,3.93,3.32,3.4,3.9,4.35
25000,3.88,3.51,3.46,4.05,3.99
26000,3.69,3.74,3.48,4.03,3.81
27000,3.76,3.96,3.93,4.03,3.94
28000,3.65,4.25,4.11,4.08,3.66
29000,3.5,4.64,4.19,4.22,3.78
30000,3.41,4.88,4.42,4.07,4.1
31000,3.13,4.96,4.52,3.95,4.35
32000,3.26,5.07,4.42,3.62,4.59
33000,3.42,4.84,4.32,3.62,4.37
34000,3.56,4.75,4.04,3.43,4.41
35000,3.82,4.53,4.19,3.42,4.42
36000,4.05,4.26,4.29,3.54,4.39
37000,4.46,4.46,4.06,3.56,4.25
38000,4.47,3.87,3.85,3.66,4.32
39000,4.31,3.9,3.89,3.85,4.12
40000,4.19,3.85,4.08,4.05,3.91
41000,4.58,4.14,3.76,4.21,3.89
42000,4.65,3.74,3.88,4.31,3.66
43000,4.63,3.59,3.77,4.3,3.73
44000,4.21,3.62,4.04,4.17,3.53
45000,4.24,3.71,3.94,4.07,3.7
46000,4.49,3.8,4.19,3.86,3.75
47000,4.14,3.78,4.12,3.62,3.93
48000,4.14,4.0,3.98,3.56,4.06
49000,4.0,4.14,3.71,3.52,4.14
50000,3.89,4.41,3.68,3.63,4.21
51000,3.94,4.51,3.79,3.72,4.35
52000,4.05,4.17,4.0,3.9,4.46
53000,3.95,3.94,4.07,3.71,4.79
54000,3.87,3.98,4.06,3.83,4.86
55000,3.79,3.86,4.27,3.87,4.98
56000,3.98,3.7,4.42,3.75,4.95
57000,4.13,3.85,4.55,3.88,4.95
58000,4.07,4.27,4.56,3.76,4.77
59000,4.33,4.51,4.68,4.05,4.63
60000,4.57,4.45,4.41,4.34,4.38
61000,4.98,4.61,4.63,4.5,4.41
62000,4.65,4.66,4.7,4.62,4.46
63000,4.64,4.49,4.39,4.79,3.98
64000,4.65,4.46,4.25,4.86,4.14
65000,4.55,4.25,4.24,4.81,4.1
66000,4.41,4.54,4.11,4.64,4.07
67000,4.23,4.54,4.3,4.72,4.21
68000,4.44,4.58,4.49,4.62,4.24
69000,4.21,4.69,4.48,4.41,4.38
70000,4.24,4.69,4.49,4.47,4.72
71000,4.37,4.75,4.5,4.57,4.51
72000,4.1,4.63,4.8,4.82,4.73
73000,4.11,4.72,4.54,4.72,4.79
74000,4.02,4.51,4.71,4.66,4.53
75000,4.36,4.65,4.68,4.65,4.51
76000,4.61,4.32,4.82,4.77,4.47
77000,4.87,4.45,4.8,4.75,4.18
78000,5.01,4.39,4.78,4.73,4.11
79000,5.14,4.55,4.66,4.79,4.09
80000,5.26,4.41,4.53,4.78,4.29
81000,5.39,4.42,4.69,4.71,4.27
82000,5.13,4.39,4.63,4.5,4.44
83000,4.79,4.41,4.62,4.38,4.7
84000,4.51,4.44,4.64,4.14,4.77
85000,4.39,4.34,4.73,4.0,4.77
86000,4.37,4.18,4.45,4.16,4.52
87000,4.53,4.32,4.3,4.41,4.32
88000,4.87,4.24,4.15,4.16,4.42
89000,4.61,4.33,4.12,4.15,4.24
90000,4.69,4.3,4.18,4.5,4.19
91000,4.99,4.53,4.2,4.24,4.25
92000,4.79,4.77,4.47,3.98,4.32
93000,4.53,4.69,4.41,4.05,4.67
94000,4.75,4.52,4.61,4.19,4.52
95000,4.48,4.71,4.74,4.03,4.79
96000,4.5,4.59,4.69,4.28,4.83
97000,4.4,4.36,4.94,4.5,4.94
98000,4.5,4.2,4.9,4.63,5.05
99000,4.4,4.35,5.06,4.83,4.65
100000,4.63,4.55,5.23,4.94,4.65
101000,4.46,4.7,5.39,4.9,5.12
102000,4.49,4.74,5.4,4.7,4.82
103000,4.21,5.15,5.01,4.57,4.85
104000,4.43,5.32,4.92,4.51,5.09
105000,4.17,5.62,5.02,4.55,5.09
106000,4.46,5.54,4.74,4.5,5.22
107000,5.12,5.08,4.49,4.26,5.02
108000,5.23,5.03,4.62,4.44,5.26
109000,5.56,4.33,4.5,4.89,5.3
110000,5.75,4.48,4.59,4.74,5.08
111000,5.72,4.21,4.7,4.78,4.94
112000,5.39,4.55,4.77,5.09,4.8
113000,4.83,4.33,4.76,5.35,4.82
114000,4.4,4.62,4.81,5.39,5.0
115000,4.51,4.87,4.73,5.46,5.39
116000,4.48,4.84,4.61,5.48,5.59
117000,4.69,5.05,4.56,5.0,5.44
118000,5.05,4.72,4.85,5.15,5.23
119000,4.87,4.77,4.75,4.91,5.48
120000,4.96,4.64,4.83,4.84,5.69
121000,5.04,4.66,5.1,5.01,5.53
122000,5.1,4.45,5.23,4.58,5.4
123000,5.17,4.44,5.12,4.54,5.4
124000,4.95,4.49,5.0,4.55,5.57
125000,5.13,4.39,5.15,4.48,5.71
126000,5.14,4.03,5.18,4.79,5.35
127000,5.09,4.26,5.39,4.67,5.33
128000,5.21,4.33,5.28,5.04,5.18
129000,5.01,4.72,5.57,5.07,5.38
130000,4.93,4.81,5.57,5.13,5.22
131000,4.89,4.98,5.72,5.01,5.05
132000,4.92,5.04,5.56,4.89,5.17
133000,4.73,5.24,5.3,5.31,5.18
134000,4.9,4.85,5.15,5.17,5.02
135000,5.26,4.47,5.07,5.24,4.93
136000,5.42,4.77,4.79,5.28,5.06
137000,5.44,4.73,5.06,5.22,5.19
138000,5.37,4.82,4.98,5.21,5.27
139000,5.5,4.77,5.27,5.37,4.98
140000,5.66,5.1,5.35,5.03,4.94
141000,5.34,5.2,5.55,4.72,5.15
142000,5.41,5.3,5.8,4.87,5.28
143000,5.67,5.16,5.7,4.89,5.17
144000,5.8,5.35,5.79,4.92,5.3
145000,5.81,5.35,5.78,4.95,5.47
146000,5.32,5.45,5.69,4.74,5.56
147000,5.47,5.34,5.62,4.7,5.69
148000,5.37,5.3,5.54,4.9,5.52
149000,5.4,5.09,5.84,4.68,5.44
150000,5.57,5.04,5.85,4.91,5.38
151000,5.26,5.07,5.62,4.56,5.22
152000,5.47,5.01,5.98,4.5,5.34
153000,5.49,4.92,5.72,4.58,5.3
154000,5.64,4.81,5.68,4.68,5.39
155000,5.44,4.6,5.86,4.73,5.38
156000,5.26,4.53,5.62,4.72,5.36
