step,seed1,seed2,seed3,seed4,seed5
1000,0.4117647,0.3846154,0.84615386,0.3125,0.75
2000,0.31428573,0.6086956,0.875,0.34375,1.0434783
3000,0.40384614,0.61538464,0.54545456,0.4,0.7948718
4000,0.53125,0.53846157,0.59322035,0.4477612,0.76
5000,0.5316456,0.6363636,0.625,0.46341464,0.65625
6000,0.5252525,0.6,0.57471263,0.44329897,0.62025315
7000,0.53,0.5729167,0.54,0.42,0.5744681
8000,0.59,0.62,0.51,0.46,0.55
9000,0.6,0.51,0.53,0.46,0.49
10000,0.62,0.53,0.64,0.41,0.53
11000,0.54,0.54,0.65,0.43,0.5
12000,0.5,0.5,0.68,0.39,0.44
13000,0.58,0.51,0.68,0.42,0.53
14000,0.57,0.46,0.71,0.35,0.6
15000,0.47,0.48,0.72,0.41,0.58
16000,0.48,0.44,0.76,0.45,0.51
17000,0.48,0.45,0.7,0.39,0.51
18000,0.47,0.5,0.61,0.39,0.52
19000,0.42,0.48,0.52,0.41,0.61
20000,0.38,0.52,0.59,0.45,0.59
21000,0.5,0.52,0.55,0.49,0.44
22000,0.48,0.52,0.52,0.49,0.5
23000,0.5,0.59,0.48,0.45,0.42
24000,0.49,0.66,0.46,0.48,0.41
25000,0.56,0.6,0.46,0.5,0.34
26000,0.64,0.52,0.45,0.48,0.35
27000,0.53,0.48,0.41,0.44,0.43
28000,0.58,0.51,0.38,0.56,0.49
29000,0.56,0.51,0.36,0.57,0.47
30000,0.65,0.47,0.43,0.56,0.52
31000,0.52,0.37,0.43,0.54,0.53
32000,0.47,0.41,0.39,0.56,0.56
33000,0.5,0.43,0.46,0.65,0.6
34000,0.51,0.44,0.53,0.58,0.67
35000,0.48,0.37,0.55,0.57,0.62
36000,0.5,0.43,0.5,0.6,0.66
37000,0.48,0.42,0.43,0.66,0.56
38000,0.52,0.39,0.4,0.64,0.54
39000,0.56,0.42,0.51,0.69,0.52
40000,0.55,0.4,0.49,0.59,0.47
41000,0.51,0.36,0.51,0.6,0.5
42000,0.53,0.34,0.5,0.59,0.51
43000,0.56,0.37,0.51,0.56,0.5
44000,0.56,0.39,0.59,0.49,0.53
45000,0.65,0.43,0.53,0.51,0.55
46000,0.6,0.45,0.51,0.41,0.5
47000,0.61,0.51,0.51,0.49,0.43
48000,0.62,0.52,0.49,0.43,0.47
49000,0.64,0.51,0.51,0.41,0.4
50000,0.69,0.47,0.49,0.49,0.47
51000,0.72,0.47,0.57,0.49,0.52
52000,0.64,0.43,0.6,0.48,0.49
53000,0.67,0.37,0.55,0.39,0.59
54000,0.62,0.44,0.57,0.43,0.61
55000,0.58,0.44,0.62,0.43,0.6
56000,0.54,0.47,0.6,0.42,0.59
57000,0.51,0.48,0.53,0.35,0.58
58000,0.48,0.47,0.54,0.34,0.55
59000,0.59,0.49,0.55,0.45,0.57
60000,0.56,0.45,0.51,0.46,0.65
61000,0.48,0.46,0.45,0.5,0.64
