step,seed1,seed2,seed3,seed4,seed5
1000,0.33,0.36,0.4040404,0.37,0.3838384
2000,0.36,0.35,0.43,0.42,0.34
3000,0.58,0.42,0.46,0.42,0.42
4000,0.51,0.43,0.36,0.36,0.36
5000,0.43,0.33,0.4,0.48,0.39
6000,0.54,0.47,0.41,0.35,0.42
7000,0.44,0.27,0.38,0.37,0.39
8000,0.34,0.37,0.46,0.44,0.38
9000,0.42,0.34,0.46,0.51,0.41
10000,0.32,0.37,0.49,0.35,0.38
11000,0.38,0.36,0.31,0.38,0.35
12000,0.32,0.43,0.28,0.34,0.4
13000,0.34,0.34,0.44,0.39,0.34
14000,0.33,0.51,0.35,0.3,0.46
15000,0.37,0.38,0.4,0.3,0.39
16000,0.37,0.41,0.34,0.34,0.37
17000,0.31,0.52,0.34,0.46,0.34
18000,0.4,0.31,0.44,0.43,0.5
19000,0.34,0.42,0.47,0.41,0.41
20000,0.4,0.64,0.41,0.44,0.43
21000,0.41,0.38,0.46,0.5,0.32
22000,0.47,0.51,0.52,0.55,0.55
23000,0.32,0.37,0.4,0.38,0.43
24000,0.34,0.45,0.46,0.51,0.39
25000,0.44,0.47,0.38,0.53,0.5
26000,0.3,0.3,0.43,0.43,0.41
27000,0.43,0.5,0.47,0.48,0.45
28000,0.41,0.43,0.48,0.47,0.47
29000,0.47,0.44,0.58,0.5,0.47
30000,0.54,0.4,0.4,0.43,0.43
31000,0.35,0.36,0.52,0.26,0.43
32000,0.32,0.47,0.51,0.35,0.46
33000,0.37,0.48,0.37,0.43,0.53
34000,0.36,0.59,0.47,0.46,0.44
35000,0.51,0.55,0.56,0.46,0.59
36000,0.49,0.36,0.58,0.55,0.49
37000,0.48,0.43,0.49,0.58,0.55
38000,0.41,0.51,0.46,0.47,0.45
39000,0.56,0.57,0.55,0.46,0.48
40000,0.4,0.49,0.61,0.51,0.4
41000,0.49,0.58,0.4,0.55,0.52
42000,0.42,0.48,0.48,0.36,0.43
43000,0.48,0.44,0.33,0.44,0.53
44000,0.33,0.52,0.56,0.48,0.52
45000,0.51,0.38,0.48,0.61,0.53
46000,0.41,0.49,0.46,0.62,0.56
47000,0.46,0.6,0.5,0.47,0.46
48000,0.5,0.5,0.37,0.49,0.52
49000,0.38,0.54,0.57,0.51,0.45
50000,0.51,0.61,0.38,0.59,0.42
51000,0.55,0.71,0.53,0.5,0.46
52000,0.54,0.56,0.41,0.57,0.47
53000,0.57,0.47,0.59,0.49,0.46
54000,0.5,0.46,0.44,0.48,0.54
55000,0.47,0.58,0.44,0.45,0.54
56000,0.47,0.58,0.51,0.47,0.67
57000,0.46,0.61,0.54,0.63,0.45
58000,0.5,0.54,0.65,0.53,0.47
59000,0.49,0.45,0.61,0.51,0.47
60000,0.41,0.56,0.57,0.54,0.33
61000,0.64,0.6,0.55,0.5,0.4
62000,0.6,0.53,0.56,0.64,0.48
63000,0.51,0.46,0.52,0.62,0.52
64000,0.69,0.62,0.54,0.56,0.45
65000,0.55,0.55,0.59,0.49,0.55
66000,0.56,0.52,0.71,0.57,0.58
67000,0.67,0.55,0.52,0.57,0.58
68000,0.36,0.64,0.56,0.43,0.68
69000,0.62,0.51,0.65,0.51,0.53
70000,0.52,0.66,0.57,0.7,0.54
71000,0.62,0.55,0.59,0.59,0.5
72000,0.67,0.53,0.62,0.49,0.55
73000,0.45,0.69,0.5,0.54,0.63
74000,0.59,0.73,0.73,0.6,0.68
75000,0.63,0.73,0.54,0.51,0.59
76000,0.53,0.43,0.57,0.44,0.43
77000,0.64,0.6,0.58,0.72,0.51
78000,0.55,0.53,0.63,0.63,0.55
79000,0.47,0.53,0.54,0.54,0.71
80000,0.64,0.52,0.7,0.63,0.69
81000,0.67,0.46,0.69,0.67,0.55
82000,0.56,0.58,0.69,0.73,0.55
83000,0.79,0.61,0.64,0.59,0.61
84000,0.68,0.66,0.65,0.64,0.4
85000,0.55,0.65,0.61,0.65,0.65
86000,0.49,0.69,0.7,0.47,0.64
87000,0.56,0.58,0.64,0.59,0.74
88000,0.66,0.6,0.63,0.57,0.72
89000,0.48,0.56,0.67,0.67,0.63
90000,0.6,0.7,0.58,0.51,0.58
91000,0.48,0.54,0.49,0.68,0.65
92000,0.69,0.62,0.67,0.67,0.64
93000,0.61,0.57,0.62,0.65,0.66
94000,0.65,0.54,0.61,0.71,0.69
95000,0.6,0.57,0.41,0.75,0.83
96000,0.6,0.51,0.53,0.76,0.65
97000,0.59,0.66,0.58,0.68,0.56
98000,0.66,0.47,0.63,0.8,0.81
99000,0.74,0.65,0.62,0.61,0.49
100000,0.67,0.67,0.58,0.68,0.7
101000,0.66,0.57,0.74,0.71,0.75
102000,0.67,0.67,0.56,0.66,0.61
103000,0.61,0.61,0.6,0.82,0.8
104000,0.51,0.56,0.75,0.82,0.55
105000,0.64,0.62,0.67,0.64,0.7
106000,0.77,0.62,0.69,0.54,0.86
107000,0.73,0.71,0.68,0.65,0.53
108000,0.78,0.81,0.59,0.77,0.73
109000,0.63,0.61,0.65,0.74,0.65
110000,0.55,0.78,0.67,0.62,0.65
111000,0.63,0.71,0.69,0.84,0.85
112000,0.62,0.73,0.72,0.84,0.6
113000,0.65,0.65,0.66,0.69,0.8
114000,0.77,0.81,0.85,0.75,0.87
115000,0.65,0.72,0.73,0.69,0.75
116000,0.67,0.77,0.66,0.77,0.64
117000,0.82,0.77,0.59,0.9,0.63
118000,0.67,0.74,0.58,0.63,0.56
119000,0.79,0.79,0.79,0.63,0.62
120000,0.81,0.76,0.85,0.63,0.63
121000,0.74,0.66,0.79,0.75,0.68
122000,0.68,0.73,0.72,0.72,0.76
123000,0.83,0.65,0.8,0.68,0.8
124000,0.7,0.69,0.85,0.81,0.87
125000,0.77,0.65,0.71,0.73,0.73
126000,0.77,0.75,0.62,0.88,0.66
127000,0.76,0.56,0.65,0.81,0.75
128000,0.83,0.72,0.75,0.64,0.75
129000,0.78,0.7,0.67,0.81,0.8
130000,0.72,0.64,0.73,0.86,0.56
131000,0.72,0.74,0.58,0.84,0.81
132000,0.74,0.64,0.79,0.87,0.73
133000,0.67,0.74,0.85,0.91,0.72
134000,0.7,0.82,0.61,0.86,0.72
135000,0.72,0.91,0.71,0.74,0.84
136000,0.66,0.78,0.74,0.66,0.78
137000,0.73,0.88,0.64,0.9,0.76
138000,0.64,0.85,0.78,1.06,0.63
139000,0.68,0.93,0.95,0.89,0.76
140000,0.77,0.96,0.81,0.78,1.03
141000,0.94,0.99,0.74,0.78,0.87
142000,1.1,0.87,0.82,0.73,0.82
143000,0.76,0.84,0.75,1.0,0.9
144000,0.65,0.78,0.73,0.78,0.91
145000,0.82,0.64,0.75,0.91,0.83
146000,0.69,0.74,0.76,0.82,0.92
147000,0.75,0.85,0.74,0.7,0.93
148000,0.99,0.96,0.93,0.8,0.73
149000,0.98,0.59,1.02,0.95,0.84
150000,1.01,0.97,0.81,0.81,0.8
151000,0.75,0.99,0.72,0.82,0.79
152000,0.91,0.63,0.65,0.76,0.88
153000,0.9,0.82,0.93,0.92,0.94
154000,0.85,0.95,1.06,1.13,0.96
155000,0.8,0.93,0.9,1.01,0.92
156000,0.8,0.82,0.92,0.84,0.91
157000,0.79,0.88,0.82,0.97,0.72
158000,1.02,1.07,0.93,1.21,0.73
159000,0.99,1.1,0.88,0.96,0.93
160000,0.96,1.07,0.96,1.06,1.05
161000,0.95,0.82,1.08,0.89,1.05
162000,0.86,0.92,1.22,0.9,0.85
163000,0.75,0.84,1.21,0.82,0.99
164000,0.87,0.82,0.88,0.66,0.95
165000,1.12,0.8,0.97,0.83,0.77
166000,1.08,0.79,1.18,0.73,0.93
167000,0.99,0.82,0.82,0.97,1.0
168000,0.9,0.84,1.03,0.84,0.96
169000,0.93,0.96,1.03,0.95,1.05
170000,1.0,0.89,0.84,0.96,1.04
171000,1.0,0.84,0.92,0.66,1.0
172000,0.89,1.02,0.9,0.94,1.06
173000,0.97,1.08,1.01,0.95,1.04
174000,0.94,1.04,0.85,0.78,1.0
175000,0.97,0.98,0.72,0.91,0.95
176000,1.07,0.98,0.76,1.17,1.04
177000,1.04,1.11,0.85,1.13,0.98
178000,1.07,0.81,0.86,0.96,0.99
179000,0.94,0.92,0.92,0.88,1.14
180000,0.99,0.98,1.14,0.86,1.0
181000,0.76,1.1,1.07,1.03,1.07
182000,0.97,1.09,1.09,1.03,1.04
183000,1.19,0.97,0.93,0.98,1.14
184000,1.03,1.08,0.95,0.89,1.08
185000,1.16,0.8,1.07,0.98,0.99
186000,1.15,0.96,1.19,1.07,1.09
187000,0.9,1.06,1.15,1.33,1.12
188000,1.23,0.77,0.89,1.2,0.99
189000,1.27,0.98,0.99,0.87,0.96
190000,1.07,1.19,1.17,0.82,1.23
191000,0.84,1.24,1.34,1.01,1.1
192000,0.89,1.16,1.25,1.22,1.0
193000,1.01,0.9,0.98,1.13,0.9
194000,1.07,0.93,1.06,1.04,0.99
195000,1.2,1.04,1.02,1.12,1.19
196000,1.24,1.21,0.88,1.14,1.07
197000,1.13,1.17,1.07,1.14,0.78
198000,1.17,0.97,1.17,1.21,0.95
199000,1.0,1.0,1.07,1.16,1.05
200000,0.96,1.02,1.12,1.15,1.22
201000,1.1,1.23,0.95,1.18,1.19
202000,1.29,1.25,0.92,1.1,1.0
203000,1.29,1.32,1.19,1.04,1.16
204000,0.91,1.15,1.1,1.21,1.21
205000,0.95,1.15,1.26,1.28,1.08
206000,0.99,1.25,1.29,1.39,1.21
207000,1.24,1.08,1.33,1.23,1.32
208000,1.47,1.0,1.29,1.06,1.09
209000,1.37,1.02,1.17,1.1,0.99
210000,1.22,1.08,1.13,1.11,1.18
211000,1.15,1.11,1.16,1.0,1.22
212000,1.13,1.13,1.17,1.24,1.1
213000,1.12,1.15,1.07,1.3,1.24
214000,1.2,1.12,1.05,1.15,0.91
215000,1.33,1.11,1.29,1.11,1.12
216000,1.18,1.03,1.32,1.07,1.47
217000,1.26,1.07,1.04,1.16,1.3
218000,1.45,1.07,1.22,1.32,1.2
219000,1.29,1.19,1.27,1.36,1.12
220000,1.1,1.31,1.11,1.44,1.15
221000,1.18,1.3,1.18,1.32,1.13
222000,1.41,1.13,1.33,1.22,1.4
223000,1.57,1.21,1.38,1.27,1.53
224000,1.36,1.33,1.35,1.31,1.25
225000,1.25,1.26,1.34,1.25,1.32
226000,1.57,1.08,1.3,1.16,1.44
227000,1.56,1.15,1.17,1.3,1.31
228000,1.39,1.23,1.3,1.22,1.23
229000,1.32,1.05,1.24,1.1,1.47
230000,1.15,1.19,1.14,1.17,1.4
231000,1.05,1.22,1.29,1.36,1.23
232000,1.13,1.36,1.48,1.47,1.36
233000,1.36,1.44,1.49,1.08,1.38
234000,1.43,1.19,1.28,1.15,1.42
235000,1.3,1.17,1.28,1.15,1.42
236000,1.32,1.39,1.41,1.18,1.34
237000,1.58,1.32,1.35,1.22,1.49
238000,1.43,1.31,1.46,1.34,1.55
239000,1.19,1.51,1.54,1.57,1.5
240000,1.43,1.27,1.45,1.58,1.67
241000,1.39,1.07,1.38,1.38,1.53
242000,1.25,1.31,1.54,1.47,1.34
243000,1.13,1.36,1.58,1.59,1.18
244000,1.31,1.4,1.61,1.19,1.18
245000,1.45,1.56,1.62,1.19,1.42
246000,1.25,1.55,1.61,1.46,1.44
247000,1.15,1.78,1.69,1.43,1.36
248000,1.44,1.61,1.39,1.3,1.38
249000,1.7,1.57,1.57,1.22,1.34
250000,1.75,1.59,1.46,1.37,1.42
251000,1.63,1.49,1.31,1.62,1.5
252000,1.66,1.54,1.46,1.48,1.39
253000,1.37,1.62,1.71,1.71,1.57
254000,1.31,1.6,1.77,1.67,1.64
255000,1.49,1.26,1.53,1.73,1.61
256000,1.43,1.07,1.36,1.43,1.67
257000,1.25,1.22,1.35,1.63,1.47
