step,seed1,seed2,seed3,seed4,seed5
1000,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0
3000,0.0,0.0,0.0,1.0,1.0
4000,0.0,0.0,0.0,1.0,1.0
5000,0.0,0.0,0.0,1.0,1.0
6000,0.0,0.0,0.0,0.5,1.0
7000,0.0,0.0,0.0,0.5,1.0
8000,0.0,0.33333334,0.33333334,1.0,0.6666667
9000,0.0,0.33333334,0.33333334,1.0,0.6666667
10000,0.0,0.33333334,0.33333334,1.0,0.6666667
11000,0.0,0.5,0.25,0.75,0.75
12000,0.0,0.5,0.25,0.75,0.75
13000,0.0,0.4,0.2,0.6,0.6
14000,0.0,0.4,0.2,0.6,0.6
15000,0.0,0.4,0.2,0.6,0.6
16000,0.0,0.5,0.6666667,0.5,0.6666667
17000,0.0,0.5,0.6666667,0.5,0.6666667
18000,0.0,0.42857143,0.5714286,0.42857143,0.5714286
19000,0.0,0.42857143,0.5714286,0.42857143,0.5714286
20000,0.0,0.42857143,0.5714286,0.42857143,0.5714286
21000,0.0,0.375,0.5,0.375,0.5
22000,0.0,0.375,0.5,0.375,0.5
23000,0.11111111,0.33333334,0.44444445,0.33333334,0.5555556
24000,0.11111111,0.33333334,0.44444445,0.33333334,0.5555556
25000,0.11111111,0.33333334,0.44444445,0.33333334,0.5555556
26000,0.1,0.3,0.4,0.3,0.5
27000,0.1,0.3,0.4,0.3,0.5
28000,0.09090909,0.36363637,0.45454547,0.27272728,0.54545456
29000,0.09090909,0.36363637,0.45454547,0.27272728,0.54545456
30000,0.09090909,0.36363637,0.45454547,0.27272728,0.54545456
31000,0.083333336,0.33333334,0.41666666,0.33333334,0.5
32000,0.083333336,0.33333334,0.41666666,0.33333334,0.5
33000,0.15384616,0.30769232,0.46153846,0.30769232,0.46153846
34000,0.15384616,0.30769232,0.46153846,0.30769232,0.46153846
35000,0.15384616,0.30769232,0.46153846,0.30769232,0.46153846
36000,0.21428572,0.2857143,0.5,0.2857143,0.42857143
37000,0.21428572,0.2857143,0.5,0.2857143,0.42857143
38000,0.2,0.26666668,0.46666667,0.26666668,0.4
39000,0.2,0.26666668,0.46666667,0.26666668,0.4
40000,0.2,0.26666668,0.46666667,0.26666668,0.4
41000,0.1875,0.25,0.4375,0.25,0.4375
42000,0.1875,0.25,0.4375,0.25,0.4375
43000,0.1764706,0.23529412,0.47058824,0.29411766,0.5294118
44000,0.1764706,0.23529412,0.47058824,0.29411766,0.5294118
45000,0.1764706,0.23529412,0.47058824,0.29411766,0.5294118
46000,0.16666667,0.2777778,0.5,0.33333334,0.6111111
47000,0.16666667,0.2777778,0.5,0.33333334,0.6111111
48000,0.15789473,0.2631579,0.47368422,0.36842105,0.6315789
49000,0.15789473,0.2631579,0.47368422,0.36842105,0.6315789
50000,0.15789473,0.2631579,0.47368422,0.36842105,0.6315789
51000,0.2,0.3,0.55,0.35,0.7
52000,0.2,0.3,0.55,0.35,0.7
53000,0.1904762,0.2857143,0.52380955,0.33333334,0.6666667
54000,0.1904762,0.2857143,0.52380955,0.33333334,0.6666667
55000,0.1904762,0.2857143,0.52380955,0.33333334,0.6666667
56000,0.22727273,0.3181818,0.54545456,0.3181818,0.6363636
57000,0.22727273,0.3181818,0.54545456,0.3181818,0.6363636
58000,0.26086956,0.3043478,0.5652174,0.3478261,0.65217394
59000,0.26086956,0.3043478,0.5652174,0.3478261,0.65217394
60000,0.26086956,0.3043478,0.5652174,0.3478261,0.65217394
61000,0.25,0.41666666,0.5833333,0.33333334,0.625
62000,0.25,0.41666666,0.5833333,0.33333334,0.625
63000,0.24,0.52,0.56,0.36,0.64
64000,0.24,0.52,0.56,0.36,0.64
65000,0.24,0.52,0.56,0.36,0.64
66000,0.23076923,0.5769231,0.53846157,0.34615386,0.61538464
67000,0.23076923,0.5769231,0.53846157,0.34615386,0.61538464
68000,0.22222222,0.5555556,0.5925926,0.33333334,0.5925926
69000,0.22222222,0.5555556,0.5925926,0.33333334,0.5925926
70000,0.22222222,0.5555556,0.5925926,0.33333334,0.5925926
71000,0.25,0.53571427,0.5714286,0.32142857,0.5714286
72000,0.25,0.53571427,0.5714286,0.32142857,0.5714286
73000,0.2413793,0.6551724,0.6551724,0.31034482,0.62068963
74000,0.2413793,0.6551724,0.6551724,0.31034482,0.62068963
75000,0.2413793,0.6551724,0.6551724,0.31034482,0.62068963
76000,0.23333333,0.6333333,0.6333333,0.33333334,0.6666667
77000,0.23333333,0.6333333,0.6333333,0.33333334,0.6666667
78000,0.22580644,0.61290324,0.61290324,0.3548387,0.67741936
79000,0.22580644,0.61290324,0.61290324,0.3548387,0.67741936
80000,0.22580644,0.61290324,0.61290324,0.3548387,0.67741936
81000,0.28125,0.59375,0.59375,0.375,0.71875
82000,0.28125,0.59375,0.59375,0.375,0.71875
83000,0.27272728,0.6060606,0.6060606,0.3939394,0.6969697
84000,0.27272728,0.6060606,0.6060606,0.3939394,0.6969697
85000,0.27272728,0.6060606,0.6060606,0.3939394,0.6969697
86000,0.2647059,0.64705884,0.5882353,0.38235295,0.6764706
87000,0.2647059,0.64705884,0.5882353,0.38235295,0.6764706
88000,0.31428573,0.6857143,0.5714286,0.4,0.6571429
89000,0.31428573,0.6857143,0.5714286,0.4,0.6571429
90000,0.31428573,0.6857143,0.5714286,0.4,0.6571429
91000,0.30555555,0.6666667,0.6388889,0.41666666,0.6388889
92000,0.30555555,0.6666667,0.6388889,0.41666666,0.6388889
93000,0.2972973,0.7027027,0.6216216,0.4864865,0.7027027
94000,0.2972973,0.7027027,0.6216216,0.4864865,0.7027027
95000,0.2972973,0.7027027,0.6216216,0.4864865,0.7027027
96000,0.28947368,0.7368421,0.65789473,0.47368422,0.7894737
97000,0.28947368,0.7368421,0.65789473,0.47368422,0.7894737
98000,0.2820513,0.71794873,0.6666667,0.4871795,0.82051283
99000,0.2820513,0.71794873,0.6666667,0.4871795,0.82051283
100000,0.2820513,0.71794873,0.6666667,0.4871795,0.82051283
101000,0.275,0.725,0.65,0.5,0.8
102000,0.275,0.725,0.65,0.5,0.8
103000,0.29268292,0.70731705,0.63414633,0.4878049,0.8292683
104000,0.29268292,0.70731705,0.63414633,0.4878049,0.8292683
105000,0.29268292,0.70731705,0.63414633,0.4878049,0.8292683
106000,0.33333334,0.6904762,0.61904764,0.5,0.8095238
107000,0.33333334,0.6904762,0.61904764,0.5,0.8095238
108000,0.37209302,0.7209302,0.7209302,0.53488374,0.81395346
109000,0.37209302,0.7209302,0.7209302,0.53488374,0.81395346
110000,0.37209302,0.7209302,0.7209302,0.53488374,0.81395346
111000,0.38636363,0.70454544,0.77272725,0.59090906,0.8181818
112000,0.38636363,0.70454544,0.77272725,0.59090906,0.8181818
113000,0.37777779,0.6888889,0.8,0.5777778,0.82222223
114000,0.37777779,0.6888889,0.8,0.5777778,0.82222223
115000,0.37777779,0.6888889,0.8,0.5777778,0.82222223
116000,0.39130434,0.6956522,0.8913044,0.6086956,0.84782606
117000,0.39130434,0.6956522,0.8913044,0.6086956,0.84782606
118000,0.38297874,0.80851066,0.9148936,0.63829786,0.82978725
119000,0.38297874,0.80851066,0.9148936,0.63829786,0.82978725
120000,0.38297874,0.80851066,0.9148936,0.63829786,0.82978725
121000,0.39583334,0.8333333,0.9375,0.625,0.8125
122000,0.39583334,0.8333333,0.9375,0.625,0.8125
123000,0.40816328,0.877551,0.97959185,0.7346939,0.8367347
124000,0.40816328,0.877551,0.97959185,0.7346939,0.8367347
125000,0.40816328,0.877551,0.97959185,0.7346939,0.8367347
126000,0.44,0.92,1.0,0.74,0.82
127000,0.44,0.92,1.0,0.74,0.82
128000,0.47058824,0.9607843,0.98039216,0.7254902,0.88235295
129000,0.47058824,0.9607843,0.98039216,0.7254902,0.88235295
130000,0.47058824,0.9607843,0.98039216,0.7254902,0.88235295
131000,0.48076922,0.9807692,0.9807692,0.75,0.90384614
