step,seed1,seed2,seed3,seed4,seed5
1000,0.22727273,0.1724138,0.044444446,0.14705883,0.14285715
2000,0.24444444,0.083333336,0.08,0.114285715,0.094339624
3000,0.23170732,0.05,0.1,0.121212125,0.069767445
4000,0.25,0.06,0.08,0.14,0.07
5000,0.16,0.07,0.12,0.15,0.06
6000,0.09,0.1,0.08,0.15,0.07
7000,0.07,0.09,0.06,0.17,0.06
8000,0.11,0.12,0.07,0.15,0.07
9000,0.11,0.1,0.08,0.14,0.11
10000,0.13,0.11,0.13,0.1,0.11
11000,0.08,0.13,0.12,0.11,0.15
12000,0.13,0.14,0.13,0.14,0.15
13000,0.13,0.14,0.11,0.17,0.15
14000,0.09,0.09,0.12,0.19,0.11
15000,0.05,0.11,0.06,0.21,0.11
16000,0.06,0.11,0.07,0.13,0.1
17000,0.06,0.11,0.08,0.11,0.08
18000,0.06,0.08,0.12,0.14,0.09
19000,0.11,0.13,0.14,0.16,0.15
20000,0.14,0.18,0.13,0.19,0.16
21000,0.1,0.22,0.11,0.13,0.22
22000,0.11,0.2,0.09,0.07,0.22
23000,0.06,0.17,0.12,0.04,0.19
24000,0.07,0.18,0.12,0.06,0.14
25000,0.07,0.13,0.13,0.08,0.08
26000,0.08,0.1,0.17,0.06,0.17
27000,0.06,0.09,0.15,0.06,0.13
28000,0.09,0.08,0.1,0.09,0.17
29000,0.13,0.09,0.15,0.07,0.15
30000,0.17,0.13,0.11,0.13,0.12
31000,0.19,0.15,0.09,0.11,0.16
32000,0.2,0.11,0.06,0.1,0.17
33000,0.13,0.14,0.08,0.08,0.17
34000,0.16,0.12,0.11,0.11,0.14
35000,0.19,0.16,0.13,0.1,0.05
36000,0.14,0.14,0.17,0.09,0.05
37000,0.16,0.08,0.13,0.07,0.07
38000,0.15,0.05,0.11,0.11,0.11
39000,0.13,0.09,0.08,0.12,0.14
40000,0.11,0.1,0.12,0.12,0.16
41000,0.1,0.12,0.09,0.11,0.13
42000,0.09,0.16,0.14,0.14,0.17
43000,0.11,0.21,0.09,0.14,0.19
44000,0.16,0.23,0.08,0.17,0.11
45000,0.17,0.22,0.08,0.17,0.11
46000,0.15,0.16,0.13,0.14,0.05
47000,0.12,0.13,0.15,0.15,0.06
48000,0.12,0.14,0.13,0.16,0.08
49000,0.13,0.11,0.13,0.15,0.12
50000,0.16,0.14,0.16,0.18,0.11
51000,0.14,0.15,0.16,0.16,0.1
52000,0.16,0.16,0.13,0.13,0.13
53000,0.16,0.09,0.06,0.1,0.1
54000,0.13,0.11,0.09,0.14,0.13
55000,0.16,0.09,0.1,0.12,0.2
56000,0.15,0.11,0.16,0.09,0.13
57000,0.19,0.11,0.17,0.09,0.12
58000,0.16,0.11,0.21,0.1,0.09
59000,0.12,0.24,0.16,0.16,0.07
60000,0.14,0.24,0.18,0.17,0.07
61000,0.13,0.26,0.18,0.22,0.08
62000,0.13,0.27,0.13,0.2,0.08
63000,0.16,0.23,0.21,0.15,0.08
64000,0.16,0.18,0.2,0.17,0.07
65000,0.2,0.16,0.17,0.17,0.13
66000,0.18,0.13,0.18,0.15,0.12
67000,0.18,0.11,0.2,0.14,0.18
68000,0.16,0.1,0.08,0.2,0.16
69000,0.13,0.1,0.11,0.15,0.1
70000,0.15,0.15,0.11,0.13,0.15
71000,0.17,0.15,0.12,0.14,0.14
72000,0.19,0.19,0.16,0.17,0.17
73000,0.22,0.19,0.16,0.16,0.2
74000,0.22,0.15,0.11,0.2,0.21
75000,0.2,0.15,0.08,0.19,0.24
76000,0.18,0.16,0.12,0.17,0.19
77000,0.1,0.18,0.11,0.19,0.18
78000,0.13,0.21,0.16,0.16,0.13
79000,0.17,0.19,0.17,0.12,0.12
80000,0.15,0.19,0.22,0.17,0.19
81000,0.16,0.13,0.18,0.17,0.16
82000,0.08,0.11,0.16,0.15,0.18
83000,0.08,0.18,0.16,0.2,0.2
84000,0.09,0.16,0.13,0.16,0.19
85000,0.15,0.18,0.15,0.16,0.18
86000,0.18,0.16,0.12,0.19,0.19
87000,0.22,0.16,0.11,0.14,0.18
88000,0.23,0.17,0.14,0.13,0.19
89000,0.23,0.14,0.11,0.14,0.19
90000,0.22,0.17,0.1,0.16,0.13
91000,0.27,0.18,0.08,0.13,0.21
92000,0.32,0.21,0.1,0.12,0.21
93000,0.32,0.26,0.15,0.1,0.2
94000,0.31,0.26,0.19,0.09,0.22
95000,0.29,0.24,0.21,0.13,0.21
96000,0.25,0.23,0.19,0.12,0.2
97000,0.25,0.21,0.16,0.18,0.25
98000,0.23,0.2,0.11,0.15,0.29
99000,0.24,0.21,0.1,0.17,0.23
100000,0.22,0.23,0.13,0.2,0.22
101000,0.19,0.19,0.19,0.16,0.22
102000,0.17,0.19,0.22,0.16,0.14
103000,0.19,0.16,0.2,0.24,0.17
104000,0.18,0.2,0.23,0.25,0.2
105000,0.16,0.17,0.16,0.18,0.2
106000,0.14,0.16,0.13,0.19,0.17
107000,0.22,0.2,0.15,0.18,0.17
108000,0.29,0.24,0.19,0.18,0.17
109000,0.3,0.26,0.23,0.22,0.16
110000,0.27,0.29,0.29,0.27,0.18
111000,0.27,0.33,0.31,0.31,0.21
112000,0.18,0.31,0.31,0.29,0.24
113000,0.18,0.34,0.37,0.29,0.2
114000,0.18,0.34,0.37,0.32,0.24
115000,0.23,0.3,0.4,0.22,0.32
116000,0.2,0.26,0.25,0.27,0.34
117000,0.2,0.27,0.31,0.26,0.33
118000,0.21,0.25,0.26,0.26,0.29
119000,0.17,0.18,0.2,0.26,0.3
120000,0.21,0.2,0.22,0.24,0.23
121000,0.26,0.24,0.21,0.18,0.19
122000,0.25,0.24,0.16,0.15,0.18
123000,0.23,0.27,0.15,0.16,0.23
124000,0.26,0.28,0.12,0.13,0.26
125000,0.28,0.27,0.15,0.15,0.25
126000,0.25,0.26,0.12,0.19,0.25
127000,0.23,0.23,0.1,0.23,0.26
128000,0.31,0.22,0.12,0.25,0.31
129000,0.32,0.2,0.14,0.29,0.27
130000,0.34,0.24,0.15,0.25,0.29
131000,0.34,0.24,0.17,0.19,0.34
132000,0.39,0.26,0.18,0.19,0.37
133000,0.31,0.22,0.19,0.22,0.36
134000,0.24,0.26,0.24,0.21,0.29
