step,seed1,seed2,seed3,seed4,seed5
1000,5.266667,3.6666667,4.0,2.6153846,3.5263157
2000,4.83871,4.2647057,3.2285714,3.2666667,4.0857143
3000,5.022222,3.5964913,3.8125,3.4615386,3.9074075
4000,5.0163937,3.7702703,3.7424242,3.4756098,4.3692307
5000,4.5625,3.8021977,3.8658535,3.42,4.475
6000,4.22,4.06,3.8367348,3.79,4.5052633
7000,4.1,4.32,4.05,3.88,4.67
8000,4.14,4.31,4.09,3.87,4.44
9000,4.12,4.54,3.87,3.94,4.39
10000,4.0,4.6,4.0,4.05,3.71
11000,4.26,4.83,3.95,4.11,3.65
12000,4.45,4.57,4.11,4.04,3.63
13000,4.25,4.46,3.89,4.1,3.79
14000,4.16,4.06,3.92,4.31,3.8
15000,4.04,3.85,3.99,4.33,4.07
16000,4.11,3.84,4.24,4.39,4.23
17000,4.09,3.95,4.47,4.41,4.19
18000,3.86,4.18,4.44,4.66,3.87
19000,4.16,3.9,4.3,4.27,3.85
20000,4.26,4.36,4.77,4.11,4.04
21000,4.42,4.47,4.78,3.97,3.95
22000,4.48,4.36,5.11,3.7,3.84
23000,4.32,4.44,4.46,3.71,3.88
24000,4.3,4.28,4.37,3.64,4.13
25000,4.01,4.38,4.54,3.86,3.81
26000,4.11,4.29,3.93,3.73,3.64
27000,3.97,4.37,3.5,3.84,3.75
28000,4.04,4.24,3.72,3.82,3.87
29000,4.02,4.21,3.66,3.92,3.97
30000,4.3,4.28,3.89,3.83,3.88
31000,4.38,4.23,4.04,3.81,4.05
32000,4.16,4.1,3.99,4.1,4.3
33000,4.0,3.93,4.11,4.11,4.44
34000,4.15,3.91,4.22,4.13,4.68
35000,4.02,3.93,4.24,3.99,4.83
36000,3.93,4.08,4.29,4.3,4.78
37000,3.98,3.98,4.18,4.48,4.75
38000,4.14,4.11,4.51,4.1,4.84
39000,3.91,4.0,4.37,4.24,4.63
40000,3.91,4.0,4.21,4.34,4.49
41000,4.08,4.31,4.21,4.2,4.37
42000,3.99,4.23,4.11,3.84,4.33
43000,3.61,4.22,3.73,3.86,4.33
44000,3.89,4.32,3.89,3.74,3.93
45000,3.91,4.24,3.83,3.68,4.19
46000,4.05,4.35,4.07,3.84,3.8
47000,3.81,3.98,4.12,4.2,3.47
48000,3.9,4.31,4.09,4.11,3.48
49000,3.91,4.25,4.27,4.26,3.63
50000,3.68,4.17,4.51,4.27,3.64
51000,3.52,4.19,4.37,4.31,3.65
52000,3.6,4.25,4.84,4.03,3.87
53000,3.5,4.28,4.52,4.02,3.95
54000,3.65,4.02,4.49,4.02,4.07
55000,4.03,4.07,4.47,3.84,4.19
56000,4.14,3.95,4.32,3.82,3.99
57000,4.31,3.85,4.39,3.73,4.23
58000,4.46,3.96,4.06,4.12,4.21
59000,4.46,4.19,3.9,4.48,4.13
60000,4.46,4.58,3.86,4.66,3.92
61000,4.26,4.69,4.08,4.52,3.91
62000,4.27,4.72,4.15,4.56,4.13
63000,4.05,4.87,4.13,4.7,4.02
64000,3.92,4.97,4.1,4.86,4.1
65000,4.18,4.79,4.09,4.42,4.27
66000,4.33,4.52,4.21,4.26,4.34
67000,3.92,4.46,4.31,4.3,4.62
68000,4.27,4.35,4.34,4.49,4.57
69000,4.56,4.45,4.3,4.48,4.61
70000,4.58,4.51,4.3,4.32,4.64
71000,4.65,4.21,4.41,4.52,4.37
72000,4.52,4.4,4.36,4.53,4.4
73000,4.79,4.65,4.6,4.28,4.42
74000,4.8,4.81,4.54,4.39,4.24
75000,4.72,5.02,4.56,4.65,4.37
76000,4.52,5.06,4.4,5.05,4.12
77000,4.34,5.04,4.66,5.06,4.33
78000,4.42,5.18,4.98,5.03,4.21
79000,4.66,4.99,5.19,5.33,3.76
80000,4.57,4.93,4.87,5.42,4.06
81000,4.62,4.72,4.79,5.37,4.08
82000,4.76,4.87,4.84,5.38,3.98
83000,4.89,5.14,4.99,5.5,3.75
84000,5.02,5.0,4.53,5.26,4.03
85000,5.13,5.46,4.36,5.08,4.23
86000,5.4,5.47,4.42,4.79,4.25
87000,5.09,5.67,4.51,4.78,4.21
88000,5.38,5.5,4.69,4.4,4.53
89000,5.22,5.73,4.64,4.23,4.72
90000,5.11,5.53,4.82,4.46,4.88
91000,5.12,5.25,4.85,4.77,4.94
92000,5.09,5.0,4.93,5.03,4.58
93000,5.1,4.75,4.87,5.27,4.63
94000,4.87,4.47,4.88,5.55,4.27
95000,4.72,4.37,4.99,5.72,4.56
96000,4.82,4.62,4.93,5.85,4.29
97000,4.95,4.65,5.0,5.88,4.52
98000,4.68,4.92,5.32,5.6,4.82
99000,4.56,5.1,5.41,5.22,4.65
100000,4.56,5.07,5.46,5.26,4.93
101000,4.72,4.99,5.6,5.32,4.84
102000,4.93,5.21,5.57,5.49,4.81
103000,5.18,5.31,5.15,5.78,5.17
104000,5.39,5.7,5.36,5.41,4.89
105000,5.48,5.68,5.1,5.31,4.92
106000,5.37,5.28,5.43,5.37,5.23
107000,5.52,5.39,5.32,5.18,5.27
108000,5.45,5.56,5.08,4.89,5.31
109000,5.69,5.43,5.29,4.64,5.51
110000,5.65,5.05,5.4,4.79,5.45
111000,5.25,5.05,5.18,4.71,5.74
112000,5.36,5.25,5.1,5.03,5.69
113000,5.37,5.15,4.99,4.84,5.14
114000,5.24,5.07,5.22,5.05,5.2
115000,4.9,5.3,5.07,5.41,5.11
116000,4.93,5.73,5.29,5.44,4.67
117000,4.97,5.37,5.35,5.67,4.62
118000,5.03,5.29,5.28,5.85,4.59
119000,5.13,5.79,5.74,5.8,4.47
120000,4.98,5.69,5.53,5.51,4.81
121000,4.92,5.33,5.45,5.12,4.79
122000,4.6,5.16,5.72,4.79,4.88
123000,4.75,5.4,5.45,4.72,5.14
124000,4.94,4.85,5.46,4.62,5.11
125000,4.94,5.03,5.22,4.71,5.28
126000,5.33,5.1,5.34,4.82,5.14
127000,5.36,5.19,5.39,5.22,5.31
128000,5.88,5.04,5.45,5.63,5.36
129000,5.83,5.46,5.68,5.89,5.23
130000,5.79,5.52,5.51,5.86,5.11
131000,5.79,5.72,5.45,5.81,5.14
132000,6.03,6.0,5.37,5.16,4.75
133000,6.04,5.45,5.37,5.19,4.46
134000,6.0,5.83,5.7,5.13,4.71
135000,6.03,5.52,5.5,5.2,4.84
136000,6.11,5.12,5.44,5.22,4.88
137000,6.44,5.21,5.54,5.31,4.94
138000,6.1,5.53,5.88,5.43,5.2
139000,6.02,5.62,5.82,5.44,5.17
140000,6.47,5.61,5.92,5.44,5.0
141000,6.37,5.77,6.0,5.54,5.07
142000,6.24,5.99,5.97,5.19,5.0
143000,5.52,6.12,6.1,5.43,4.74
144000,5.73,6.57,6.02,5.68,4.37
145000,5.62,6.61,6.12,5.73,4.69
146000,5.56,6.22,5.78,5.77,4.85
147000,5.5,6.42,6.06,5.91,4.89
148000,5.49,6.39,5.72,6.08,4.85
149000,5.71,6.47,5.82,6.14,4.8
150000,6.05,6.04,6.07,5.67,5.02
151000,6.29,6.31,6.19,5.65,4.8
152000,6.56,6.46,6.14,5.98,5.15
153000,6.72,6.59,6.42,6.0,5.26
154000,6.33,6.81,6.42,5.73,5.33
155000,6.41,6.93,6.34,5.75,5.65
156000,6.5,7.13,6.5,5.63,5.72
157000,6.49,7.34,6.83,5.9,5.64
158000,6.38,7.24,6.82,5.45,6.0
159000,6.35,7.2,6.99,5.27,6.34
160000,6.46,7.14,7.07,5.53,5.91
161000,6.59,6.79,6.77,5.7,5.83
162000,7.0,6.82,6.51,5.67,5.57
163000,6.2,6.93,6.34,5.78,5.76
164000,6.17,6.7,5.87,5.68,5.89
165000,6.09,6.81,5.36,5.64,5.38
166000,5.8,6.6,5.55,5.54,5.09
167000,5.75,6.46,5.43,5.59,5.19
168000,6.0,6.55,5.48,5.63,5.36
169000,6.45,6.55,5.88,5.45,5.11
170000,6.71,6.92,6.16,5.65,5.07
171000,7.05,7.03,6.53,5.77,5.17
172000,6.8,7.2,6.55,5.77,5.44
173000,6.76,7.41,6.66,5.5,5.48
174000,6.83,7.52,6.85,5.89,5.52
175000,6.24,7.8,6.79,5.95,5.45
176000,6.27,8.17,6.99,5.83,5.57
177000,6.11,8.35,6.81,5.74,5.4
178000,6.23,8.09,6.42,5.94,5.53
179000,6.3,7.89,6.51,6.3,5.53
180000,5.99,8.03,7.04,5.74,5.21
181000,6.04,8.05,7.17,5.82,5.33
182000,6.17,7.87,7.2,5.9,5.53
183000,6.16,8.19,6.98,6.22,5.61
184000,6.43,8.22,7.01,6.03,5.46
185000,6.23,8.29,7.38,6.2,5.39
186000,6.59,8.34,7.34,6.23,5.56
187000,7.04,8.53,7.06,6.53,5.75
188000,7.04,8.31,6.79,6.3,5.31
189000,6.65,8.4,7.07,6.4,4.98
190000,6.54,8.3,7.05,6.45,5.2
191000,6.63,8.12,7.31,6.35,5.25
192000,6.63,8.05,7.56,6.66,5.27
193000,6.7,7.71,7.55,6.78,5.34
194000,6.78,7.67,7.57,6.71,5.18
195000,7.03,8.07,7.72,6.67,5.5
196000,7.25,7.67,7.63,6.87,5.61
197000,7.54,7.81,7.93,6.96,5.71
198000,7.49,7.86,7.83,6.73,5.32
199000,7.6,7.85,8.12,6.67,5.13
200000,7.77,8.19,8.15,6.35,5.47
201000,8.01,8.41,8.31,6.39,5.75
202000,8.15,8.52,7.9,6.45,5.91
203000,8.55,8.43,8.25,6.42,6.36
204000,8.59,9.04,8.72,6.44,6.58
205000,8.6,8.76,8.56,6.89,6.57
206000,8.73,8.97,8.84,6.67,6.56
207000,8.81,8.9,8.74,6.84,6.64
208000,8.93,8.67,8.5,6.99,5.98
209000,8.84,8.54,8.3,6.76,5.81
210000,8.77,8.38,8.43,6.64,5.86
211000,8.51,8.46,8.67,6.9,5.89
212000,8.61,8.55,8.56,7.0,5.79
213000,8.54,8.75,7.98,6.62,5.88
214000,8.55,8.9,8.34,6.71,6.32
