env,algo,mean,std,count
Asterix-v1,qrc,19.907999999999998,1.8942069580697873,5
Asterix-v1,qrc-et,22.974,6.261471871692789,5
Breakout-v1,qrc,12.697999999999999,3.0169968511750227,5
Breakout-v1,qrc-et,15.644,3.0581906415395346,5
Freeway-v1,qrc,53.410000000000004,2.739114820521404,5
Freeway-v1,qrc-et,47.772000000000006,4.374679416825878,5
Seaquest-v1,qrc,42.07,13.330193171893647,5
Seaquest-v1,qrc-et,44.86,13.933980048787209,5
SpaceInvaders-v1,qrc,108.97999999999999,11.123866234362945,5
SpaceInvaders-v1,qrc-et,97.602,19.387866566489464,5
