env,algo,mean,std,count
Asterix-v1,qrc,19.907999999999998,1.8942069580697876,5
Asterix-v1,qrc-et,22.974,6.26147187169279,5
Breakout-v1,qrc,12.697999999999999,3.0169968511750227,5
Breakout-v1,qrc-et,15.644,3.058190641539535,5
Freeway-v1,qrc,53.410000000000004,2.739114820521401,5
Freeway-v1,qrc-et,47.772000000000006,4.3746794168258765,5
Seaquest-v1,qrc,42.07,13.330193171893647,5
Seaquest-v1,qrc-et,44.86,13.933980048787209,5
SpaceInvaders-v1,qrc,108.97999999999999,11.12386623436294,5
SpaceInvaders-v1,qrc-et,97.602,19.387866566489468,5
